,District,District Code,School Code,School Name,number,score,vote
0,Hacienda la Puente Unified,73445,1933316,"Puente Hills High, Alter.",32,9.6875,0.770707392088
1,Pomona Unified,64907,1933324,Garey Senior High,2479,21.9382815651,0.694546617624
2,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,234,33.3461538462,0.682593856655
3,Los Angeles Unified,64733,1937424,"School of Communications, New",623,7.658105939,0.870950978694
4,Los Angeles Unified,64733,6058002,Robert Fulton College Prepara,1344,19.7723214286,0.808184727938
5,Burbank Unified,64337,1933332,"Monterey High, Cont.",123,18.9105691057,0.808108640031
6,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,1817,27.4617501376,0.76065511572
7,Whittier Union High,65128,1931302,California High,4383,42.067761807,0.678964637258
8,William S. Hart Union High,65136,102459,Golden Valley High,3061,42.318850049,0.493247068338
9,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",50,2.22,0.83513562224
10,Lynwood Unified,64774,1935428,Vista High (Continuation),80,1.275,0.818173573955
11,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,3282,35.316575259,0.884973040556
12,Los Angeles Unified,64733,1931336,Cheviot Hills Continuation,114,10.5964912281,0.816042024447
13,El Monte Union High,64519,1937481,Rosemead High,2637,48.795221843,0.809498750164
14,William S. Hart Union High,65136,102475,West Ranch High,4113,59.1881838074,0.56037496028
15,Los Angeles Unified,64733,110668,Frida Kahlo High,145,17.0275862069,0.922107850668
16,West Covina Unified,65094,1939537,West Covina High,3713,44.2658227848,0.722227984649
17,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,881,52.4869466515,0.750386750387
18,Los Angeles Unified,64733,1931377,Earhart (Amelia) Continuation,59,12.3220338983,0.806232062321
19,Los Angeles Unified,64733,1931385,Einstein (Albert) Cont.,65,12.1076923077,0.706802053886
20,Los Angeles Unified,64733,1931393,Highland Park Continuation,56,16.375,0.820382855174
21,Torrance Unified,65060,1939602,West High,3151,63.9304982545,0.643809331448
22,Los Angeles Unified,64733,1931419,Leonis (Miguel) Continuation,67,18.0149253731,0.658119126159
23,Rowland Unified,73452,1937564,Rowland (John A.) High,3384,57.0744680851,0.58049122807
24,Los Angeles Unified,64733,1935519,Manual Arts Senior High,3788,12.4857444562,0.87685560054
25,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",236,8.18220338983,0.66717603912
26,Los Angeles Unified,64733,114850,West Adams Preparatory High,2805,17.8203208556,0.904467987103
27,Los Angeles Unified,64733,1931435,Lewis (Robert H.) Continuation,40,2.625,0.750625360785
28,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,448,82.3883928571,0.619047619048
29,Los Angeles Unified,64733,1931450,Jack London Continuation,78,11.4358974359,0.743107540624
30,Bonita Unified,64329,1937598,Chaparral High (Continuation),93,10.0967741935,0.532519190509
31,Los Angeles Unified,64733,1931468,Metropolitan Continuation,105,20.5333333333,0.846559206448
32,San Gabriel Unified,75291,1995810,Gabrielino High,2566,61.1360093531,0.733281579239
33,Los Angeles Unified,64733,1935568,John Marshall Senior High,3820,36.2044502618,0.690659481653
34,Los Angeles Unified,64733,1931476,Canoga Park Senior High,2454,29.3084759576,0.744038635678
35,Los Angeles Unified,64733,1937622,San Fernando Senior High,3521,24.3899460381,0.823900205693
36,Glendale Unified,64568,1933530,Glendale High,3896,46.6758213552,0.649555830428
37,Los Angeles Unified,64733,1931484,Mission Continuation,57,5.0350877193,0.823900205693
38,Glendora Unified,64576,1939677,Whitcomb Continuation High,63,3.09523809524,0.525503015274
39,Los Angeles Unified,64733,112862,Student Empowerment Academy,454,25.6123348018,0.922107850668
40,Long Beach Unified,64725,125153,Beach High-ILP,366,4.08743169399,0.575231756596
41,Tulelake Basin Joint Unified,73593,4737250,Tulelake High,182,29.0769230769,0.294797687861
42,William S. Hart Union High,65136,1931492,Canyon High,3502,48.5916619075,0.579585410653
43,Los Angeles Unified,64733,112870,Los Angeles School of Global,534,18.2434456929,0.81433061866
44,Los Angeles Unified,64733,1931500,Owensmouth Continuation,81,12.4074074074,0.744038635678
45,Whittier Union High,65128,1939701,Whittier High,3443,42.340981702,0.78215661104
46,Bellflower Unified,64303,1935618,Mayfair High,2932,44.988744884,0.728351881293
47,Los Angeles Unified,64733,1931526,Carson Senior High,3667,27.6823016089,0.776502242152
48,Los Angeles Unified,64733,121095,Ambassador School of Global,663,20.1055806938,0.823566084788
49,San Francisco Unified,68478,102103,Jordan (June) School for Equi,274,10.8613138686,0.857183118439
50,Los Angeles Unified,64733,1931534,Rogers (Will) Continuation,114,5.41228070175,0.765187419216
51,San Francisco Unified,68478,3830031,Wells (Ida B.) High,198,6.59090909091,0.910737683438
52,Glendora Unified,64576,1933597,Glendora High,3401,58.5542487504,0.519502353732
53,Alhambra Unified,75713,1937697,San Gabriel High,3349,58.1600477755,0.733281579239
54,Los Angeles Unified,64733,1931559,Stoney Point Continuation,74,8.24324324324,0.545961333175
55,Upper Lake Union High,64071,1737006,Upper Lake High,423,19.7612293144,0.459459459459
56,Compton Unified,73437,1931567,Centennial High,1514,8.90224570674,0.843711153803
57,San Francisco Unified,68478,3830064,"Downtown High, Cont.",167,1.47904191617,0.938828162129
58,El Monte Union High,64519,1932680,Mountain View High,2410,27.4481327801,0.779574617683
59,Woodland Joint Unified,72710,5738810,"Cache Creek High, Cont.",72,7.0,0.598051157125
60,Los Angeles Unified,64733,117051,Edward R. Roybal Learning Cen,2225,19.0552808989,0.868001251173
61,Exeter Union High,71928,5431614,Kaweah High,17,0.0,0.455
62,Bonita Unified,64329,1937739,San Dimas High,1803,44.6039933444,0.532519190509
63,Los Angeles Unified,64733,117069,Helen Bernstein High,1556,13.5469151671,0.869295923769
64,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,2368,30.1444256757,0.66824754731
65,Walnut Valley Unified,73460,1937747,Ron Hockwalt Academies (Conti,19,11.0,0.622432392493
66,Los Angeles Unified,64733,117077,Academic Performance Excellenc,412,13.817961165,0.869295923769
67,Covina-Valley Unified,64436,1931617,"Fairvalley High, Cont.",169,4.48520710059,0.712248743719
68,Downey Unified,64451,1931625,Columbus Continuation,158,6.4746835443,0.687788741231
69,Los Angeles Unified,64733,102764,Alonzo Community Day,277,11.4151624549,0.869295923769
70,Los Angeles Unified,64733,1939859,Woodrow Wilson Senior High,2699,21.0596517229,0.750386750387
71,ABC Unified,64212,1931641,"Tracy High, Cont.",423,6.39716312057,0.669346150659
72,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,2300,56.7513043478,0.629021981523
73,Scott Valley Unified,76455,4733309,Etna Union High,230,48.6217391304,0.324840764331
74,Long Beach Unified,64725,1935758,Millikan High,5625,37.8369777778,0.575231756596
75,Charter Oak Unified,64378,1931666,Charter Oak High,2637,41.2855517634,0.544794738036
76,Los Angeles Unified,64733,6019475,Thirty-Second St. Perf. Arts,438,41.1484018265,0.904467987103
77,Pasadena Unified,64881,1931674,Marshall Fundamental,1480,41.247972973,0.640983033059
78,Los Angeles Unified,64733,1930650,Phineas Banning Senior High,3983,30.9799146372,0.810384159139
79,Los Angeles Unified,64733,1931682,Zane Grey Continuation,103,8.02912621359,0.695140327745
80,Long Beach Unified,64725,1939875,Wilson High,5824,39.6574519231,0.742538438348
81,Los Angeles Unified,64733,1931690,Independence Continuation,84,12.2142857143,0.768974432634
82,Summerville Union High,72413,5530027,"Tuolumne High, Cont.",23,13.1739130435,0.501577287066
83,Los Angeles Unified,64733,1937838,San Pedro Senior High,3979,30.6604674541,0.721876046901
84,San Francisco Unified,68478,3830197,Independence High,92,28.3804347826,0.825506052539
85,Los Angeles Unified,64733,1931708,Chatsworth Senior High,3687,32.0827230811,0.545961333175
86,San Francisco Unified,68478,3830205,Wallenberg (Raoul) Traditiona,913,49.4359255203,0.885810926529
87,Manhattan Beach Unified,75333,1935808,Mira Costa High,3337,78.0365597842,0.682744775044
88,Los Angeles Unified,64733,1931716,Valley Alternative Magnet,257,45.1789883268,0.768974432634
89,Lynwood Unified,64774,1935436,Lynwood High,3416,19.9929742389,0.818173573955
90,Hacienda la Puente Unified,73445,1939925,Workman (William) High,1602,30.3495630462,0.765904748425
91,Los Angeles Unified,64733,102137,Aggeler Community Day,70,19.0285714286,0.545961333175
92,Colusa Unified,61598,631259,Colusa High,449,39.8396436526,0.338235294118
93,William S. Hart Union High,65136,1931740,Saugus High,3350,50.636119403,0.45738545338
94,Los Angeles County Office of Education,10199,1995232,Special Education,181,12.0331491713,0.755491167399
95,Los Angeles Unified,64733,1933795,Ulysses S. Grant Senior High,3305,27.3748865356,0.743107540624
96,Big Oak Flat-Groveland Unified,75184,5530084,Pedro (Don) High,11,27.0,0.190476190476
97,Los Angeles Unified,64733,1939941,John F. Kennedy High,3105,36.6357487923,0.607977991747
98,San Francisco Unified,68478,3830254,Burton (Phillip and Sala) Aca,1188,30.3493265993,0.852908045296
99,Whittier Union High,65128,1937903,Santa Fe High,3847,47.1502469457,0.783517010062
100,Norwalk-La Mirada Unified,64840,1936467,Norwalk High,3028,29.1941875826,0.66824754731
101,Los Angeles Unified,64733,106997,Orthopaedic Hospital,1276,40.1982758621,0.904467987103
102,Los Angeles Unified,64733,1935865,James Monroe High,3196,27.8097622028,0.706802053886
103,Los Angeles Unified,64733,107003,Northridge Academy High,1529,35.7769784173,0.746801978509
104,Los Angeles Unified,64733,102913,Middle College High,529,36.550094518,0.73945599022
105,Los Angeles Unified,64733,107011,International Studies Learnin,569,27.1142355009,0.837803249499
106,Las Virgenes Unified,64683,1931781,Calabasas High,2470,63.3951417004,0.64766536965
