,District,District Code,School Code,School Name,number,score,vote
0,Los Angeles Unified,64733,117762,School for the Visual Arts and,27,37.0,0.823566084788
1,Las Virgenes Unified,64683,1931781,Calabasas High,88,84.2613636364,0.64766536965
2,Pomona Unified,64907,1933324,Garey Senior High,14,57.0,0.694546617624
3,Glendale Unified,64568,1934082,Herbert Hoover High,105,73.4666666667,0.657273715262
4,San Francisco Unified,68478,3830288,Balboa High,432,67.599537037,0.857183118439
5,Los Angeles Unified,64733,1931864,Grover Cleveland High,319,79.6363636364,0.695140327745
6,Whittier Union High,65128,1934868,La Serna High,55,74.8,0.593833692599
7,Bellflower Unified,64303,1930775,Bellflower High,25,60.04,0.728351881293
8,Los Angeles Unified,64733,1938968,Van Nuys Senior High,307,86.8273615635,0.765187419216
9,William S. Hart Union High,65136,1995802,Valencia High,216,85.5,0.553500458575
10,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,94,72.0744680851,0.816042024447
11,William S. Hart Union High,65136,1996321,Academy of the Canyons,25,95.84,0.553500458575
12,San Gabriel Unified,75291,1995810,Gabrielino High,785,74.2445859873,0.733281579239
13,Los Angeles Unified,64733,1932847,Los Angeles Center for Enrich,214,92.714953271,0.740799366838
14,Arcadia Unified,64261,1930288,Arcadia High,1733,86.5395268321,0.641412361689
15,Long Beach Unified,64725,1936947,Polytechnic High,744,57.7607526882,0.836324705586
16,William S. Hart Union High,65136,102459,Golden Valley High,99,83.5656565657,0.493247068338
17,Walnut Valley Unified,73460,1932862,Diamond Bar High,1467,83.2017723245,0.57246031746
18,San Francisco Unified,68478,3833407,Lowell High,1168,97.3450342466,0.826167975509
19,West Covina Unified,65094,122432,Edgewood High,35,86.1142857143,0.718396082032
20,San Francisco Unified,68478,119875,S.F. International High,144,2.9375,0.927743252017
21,El Monte Union High,64519,1937481,Rosemead High,655,74.6870229008,0.809498750164
22,William S. Hart Union High,65136,102475,West Ranch High,261,89.3946360153,0.56037496028
23,Centinela Valley Union High,64352,1934926,Lawndale High,56,68.1428571429,0.75959933222
24,El Monte Union High,64519,1930320,Arroyo High,455,73.9252747253,0.779574617683
25,West Covina Unified,65094,1939537,West Covina High,207,81.4830917874,0.722227984649
26,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,43,86.3488372093,0.750386750387
27,Los Angeles Unified,64733,1932888,Downtown Business High,203,77.4778325123,0.854956965253
28,Los Angeles County Office of Education,10199,1995869,Intern. Polytechnic High,12,92.0,0.742633439973
29,Los Angeles Unified,64733,1939040,Venice Senior High,103,69.2038834951,0.805606900801
