,District,District Code,School Code,School Name,number,score,vote
0,Los Angeles Unified,64733,117762,School for the Visual Arts and,39,33.3076923077,0.823566084788
1,Las Virgenes Unified,64683,1931781,Calabasas High,148,77.7905405405,0.64766536965
2,Pomona Unified,64907,1933324,Garey Senior High,14,57.0,0.694546617624
3,Glendale Unified,64568,1934082,Herbert Hoover High,179,71.2011173184,0.657273715262
4,San Francisco Unified,68478,3830288,Balboa High,845,60.9917159763,0.857183118439
5,Los Angeles Unified,64733,1931864,Grover Cleveland High,609,80.249589491,0.695140327745
6,Whittier Union High,65128,1934868,La Serna High,78,78.3461538462,0.593833692599
7,Bellflower Unified,64303,1930775,Bellflower High,25,60.04,0.728351881293
8,Los Angeles Unified,64733,1938968,Van Nuys Senior High,594,81.5875420875,0.765187419216
9,William S. Hart Union High,65136,1995802,Valencia High,411,83.1167883212,0.553500458575
10,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,153,60.6274509804,0.816042024447
11,William S. Hart Union High,65136,1996321,Academy of the Canyons,25,95.84,0.553500458575
12,San Gabriel Unified,75291,1995810,Gabrielino High,1546,72.9282018111,0.733281579239
13,Los Angeles Unified,64733,1932847,Los Angeles Center for Enrich,402,87.8532338308,0.740799366838
14,Arcadia Unified,64261,1930288,Arcadia High,3426,82.7419731465,0.641412361689
15,Long Beach Unified,64725,1936947,Polytechnic High,1429,47.2645206438,0.836324705586
16,William S. Hart Union High,65136,102459,Golden Valley High,176,78.8181818182,0.493247068338
17,Walnut Valley Unified,73460,1932862,Diamond Bar High,2875,78.7659130435,0.57246031746
18,San Francisco Unified,68478,3833407,Lowell High,2322,91.4900947459,0.826167975509
19,West Covina Unified,65094,122432,Edgewood High,52,88.6923076923,0.718396082032
20,San Francisco Unified,68478,119875,S.F. International High,280,14.0321428571,0.927743252017
21,El Monte Union High,64519,1937481,Rosemead High,1301,65.7709454266,0.809498750164
22,William S. Hart Union High,65136,102475,West Ranch High,493,83.8478701826,0.56037496028
23,Centinela Valley Union High,64352,1934926,Lawndale High,96,59.5520833333,0.75959933222
24,El Monte Union High,64519,1930320,Arroyo High,882,71.3922902494,0.779574617683
25,West Covina Unified,65094,1939537,West Covina High,385,75.1714285714,0.722227984649
26,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,55,76.6727272727,0.750386750387
27,Los Angeles Unified,64733,1932888,Downtown Business High,366,73.1557377049,0.854956965253
28,Los Angeles County Office of Education,10199,1995869,Intern. Polytechnic High,24,83.5,0.742633439973
29,Los Angeles Unified,64733,1939040,Venice Senior High,184,68.4456521739,0.805606900801
30,ABC Unified,64212,1931880,Whitney (Gretchen) High,728,98.7912087912,0.669346150659
31,San Francisco Unified,68478,3839081,Washington (George) High,1792,55.6847098214,0.859501229364
32,Long Beach Unified,64725,1995539,Calif Acad Math and Science,170,97.0411764706,0.641695637546
33,Los Angeles Unified,64733,1932920,Fairfax Senior High,582,62.7422680412,0.843086361491
34,ABC Unified,64212,1930361,Artesia High,80,66.25,0.684382665576
35,Pomona Unified,64907,1995901,Diamond Ranch High,316,76.0158227848,0.694546617624
36,San Francisco Unified,68478,3830403,Marshall (Thurgood) High,504,36.7420634921,0.868364791399
37,Antelope Valley Union High,64246,1995398,Highland High,96,68.8958333333,0.419696176008
38,South Pasadena Unified,65029,1938455,South Pasadena Senior High,852,84.5751173709,0.803680981595
39,Torrance Unified,65060,1939602,West High,1215,76.7251028807,0.643809331448
40,San Francisco Unified,68478,119958,Academy of Arts and Sciences,50,64.08,0.886606782398
41,Downey Unified,64451,1932441,Downey High,128,85.0,0.687788741231
42,Rowland Unified,73452,1937564,Rowland (John A.) High,1510,73.6748344371,0.58049122807
43,Alhambra Unified,75713,1930163,Alhambra High,1750,70.6182857143,0.663436301232
44,Long Beach Unified,64725,1995935,Cabrillo High,69,43.1449275362,0.737823921668
45,Torrance Unified,65060,1938083,"Shery (Kurt T.) High, Cont.",11,27.0,0.680197090568
46,Los Angeles Unified,64733,1930924,Belmont Senior High,39,46.1025641026,0.868001251173
47,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,103,86.0485436893,0.619047619048
48,San Francisco Unified,68478,3830387,Asawa (Ruth) San Francisco Sc,184,82.5434782609,0.886606782398
49,Los Angeles Unified,64733,1938612,William Howard Taft Senior Hi,227,66.9735682819,0.705670515605
50,Los Angeles Unified,64733,1995448,Francisco Bravo Medical Magne,252,85.8611111111,0.870950978694
51,San Francisco Unified,68478,3831765,Galileo High,2233,58.316166592,0.904845733346
52,Los Angeles Unified,64733,1932987,John H. Francis Polytechnic,79,57.2784810127,0.750625360785
53,Duarte Unified,64469,1932482,Duarte High,34,73.7941176471,0.69235280319
54,Centinela Valley Union High,64352,1935048,Leuzinger High,50,33.8,0.75959933222
55,Walnut Valley Unified,73460,1939149,Walnut High,2242,84.640499554,0.622432392493
56,Los Angeles Unified,64733,1935568,John Marshall Senior High,332,72.2831325301,0.690659481653
57,Los Angeles Unified,64733,1934033,Hollywood Senior High,14,86.0,0.869295923769
58,Los Angeles Unified,64733,1931476,Canoga Park Senior High,45,60.1555555556,0.744038635678
59,Alhambra Unified,75713,1934553,Mark Keppel High,2642,74.9810749432,0.663436301232
60,Glendale Unified,64568,1933530,Glendale High,113,83.9203539823,0.649555830428
61,Downey Unified,64451,1939164,Warren High,119,79.1764705882,0.687788741231
62,San Francisco Unified,68478,3834082,Mission High,413,31.8934624697,0.938423268274
63,William S. Hart Union High,65136,1931492,Canyon High,96,83.5208333333,0.579585410653
64,Beverly Hills Unified,64311,1930981,Beverly Hills High,341,76.1700879765,0.720806916427
65,Los Angeles Unified,64733,1933043,Benjamin Franklin Senior High,42,71.5714285714,0.820382855174
66,Baldwin Park Unified,64287,1938166,Sierra Vista High,150,64.64,0.761875699318
67,Temple City Unified,65052,1938679,Temple City High,1924,78.9942827443,0.638942123419
68,Los Angeles Unified,64733,1932540,Eagle Rock High,73,71.095890411,0.735197132616
69,Hacienda la Puente Unified,73445,1939925,Workman (William) High,14,64.0,0.765904748425
70,Bellflower Unified,64303,1935618,Mayfair High,95,78.8631578947,0.728351881293
71,Los Angeles Unified,64733,1931526,Carson Senior High,41,51.1219512195,0.776502242152
72,Los Angeles Unified,64733,121095,Ambassador School of Global,28,25.0,0.823566084788
73,Palos Verdes Peninsula Unified,64865,1996552,Palos Verdes High,274,87.1131386861,0.558045395403
74,San Francisco Unified,68478,3830031,Wells (Ida B.) High,14,21.0,0.910737683438
75,Los Angeles Unified,64733,1935121,Abraham Lincoln Senior High,619,58.1082390953,0.854827231755
76,La Canada Unified,64659,1934611,La Canada High,541,90.6709796673,0.590101694915
77,Glendora Unified,64576,1933597,Glendora High,166,86.7951807229,0.519502353732
78,Los Angeles Unified,64733,1936160,Nathaniel Narbonne Senior Hig,109,62.5504587156,0.690962980886
79,Alhambra Unified,75713,1937697,San Gabriel High,1993,70.3567486202,0.733281579239
80,Long Beach Unified,64725,1934470,Jordan High,198,29.2929292929,0.777751852068
81,Norwalk-La Mirada Unified,64840,1934728,La Mirada High,133,65.5789473684,0.651520069242
82,Long Beach Unified,64725,1995570,Educational Partnership High,21,0.0,0.727155394941
83,Monrovia Unified,64790,1935923,Monrovia High,44,76.9772727273,0.687778528022
84,Covina-Valley Unified,64436,1932086,Covina High,81,64.2962962963,0.70250079139
85,Los Angeles Unified,64733,117051,Edward R. Roybal Learning Cen,39,33.2820512821,0.868001251173
86,Torrance Unified,65060,1938752,Torrance High,594,68.3922558923,0.680197090568
87,Palos Verdes Peninsula Unified,64865,1995588,Palos Verdes Penins. High,1281,84.0335675254,0.558045395403
88,Lompoc Unified,69229,4230454,Cabrillo High,11,73.0,0.409012131716
89,ABC Unified,64212,1930056,Cerritos High,1588,79.3413098237,0.669346150659
90,Los Angeles Unified,64733,1937226,Reseda Senior High,110,69.2090909091,0.695140327745
91,Bonita Unified,64329,1937739,San Dimas High,38,68.8421052632,0.532519190509
92,Los Angeles Unified,64733,117069,Helen Bernstein High,11,18.0,0.869295923769
93,Los Angeles Unified,64733,119693,UCLA Community,69,44.8985507246,0.823566084788
94,Bonita Unified,64329,1931088,Bonita High,66,77.303030303,0.532519190509
95,Hacienda la Puente Unified,73445,1935246,Los Altos High,286,75.0664335664,0.629021981523
96,Long Beach Unified,64725,1934678,Lakewood High,375,51.7786666667,0.627080240644
97,Los Angeles Unified,64733,1939941,John F. Kennedy High,48,52.3333333333,0.607977991747
98,Las Virgenes Unified,64683,1930080,Agoura High,177,85.3898305085,0.609734381956
99,Glendale Unified,64568,1996131,Clark (A.W.) Magnet High,25,95.84,0.601872599232
100,Rowland Unified,73452,1936228,Nogales High,85,59.9294117647,0.765904748425
101,ABC Unified,64212,1933159,Gahr (Richard) High,374,69.935828877,0.669346150659
102,Baldwin Park Unified,64287,1930601,Baldwin Park High,102,63.7549019608,0.761875699318
103,Glendale Unified,64568,1932144,Crescenta Valley High,1276,84.2805642633,0.601872599232
104,El Monte Union High,64519,1932664,El Monte High,440,65.7772727273,0.771187739464
105,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,877,77.3842645382,0.629021981523
106,Los Angeles Unified,64733,119685,New Open World Academy,15,67.0,0.808906182447
107,El Monte Union High,64519,1932680,Mountain View High,118,66.8305084746,0.779574617683
108,El Monte Union High,64519,1995661,South El Monte High,51,74.568627451,0.805658056581
