,District,District Code,School Code,School Name,number,score,vote
0,Los Angeles Unified,64733,117762,School for the Visual Arts and,39,33.3076923077,0.823566084788
1,Pomona Unified,64907,1933324,Garey Senior High,12,58.0,0.694546617624
2,San Francisco Unified,68478,3830288,Balboa High,621,60.3172302738,0.857183118439
3,Los Angeles Unified,64733,1931864,Grover Cleveland High,355,75.8535211268,0.695140327745
4,South Pasadena Unified,65029,1938455,South Pasadena Senior High,144,77.7361111111,0.803680981595
5,Los Angeles Unified,64733,1938968,Van Nuys Senior High,372,80.7258064516,0.765187419216
6,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,50,70.04,0.816042024447
7,San Gabriel Unified,75291,1995810,Gabrielino High,940,68.2446808511,0.733281579239
8,Los Angeles Unified,64733,1932847,Los Angeles Center for Enrich,266,89.2781954887,0.740799366838
9,Arcadia Unified,64261,1930288,Arcadia High,484,71.5929752066,0.641412361689
10,Long Beach Unified,64725,1936947,Polytechnic High,1009,39.8652130823,0.836324705586
11,William S. Hart Union High,65136,102459,Golden Valley High,24,91.5416666667,0.493247068338
12,Walnut Valley Unified,73460,1932862,Diamond Bar High,222,78.3468468468,0.57246031746
13,San Francisco Unified,68478,3833407,Lowell High,1166,89.1946826758,0.826167975509
14,West Covina Unified,65094,122432,Edgewood High,13,77.0,0.718396082032
15,San Francisco Unified,68478,119875,S.F. International High,183,14.7868852459,0.927743252017
16,El Monte Union High,64519,1937481,Rosemead High,1072,64.1632462687,0.809498750164
17,Centinela Valley Union High,64352,1934926,Lawndale High,55,59.7636363636,0.75959933222
18,El Monte Union High,64519,1930320,Arroyo High,708,69.0353107345,0.779574617683
19,West Covina Unified,65094,1939537,West Covina High,227,75.1894273128,0.722227984649
20,Los Angeles Unified,64733,1932888,Downtown Business High,342,73.7397660819,0.854956965253
21,Los Angeles Unified,64733,1939040,Venice Senior High,31,58.3548387097,0.805606900801
22,ABC Unified,64212,1931880,Whitney (Gretchen) High,85,98.7647058824,0.669346150659
23,San Francisco Unified,68478,3839081,Washington (George) High,1144,54.0979020979,0.859501229364
