,District,District Code,School Code,School Name,number,score,vote
0,Las Virgenes Unified,64683,1931781,Calabasas High,84,85.9047619048,0.64766536965
1,Glendale Unified,64568,1934082,Herbert Hoover High,53,84.8679245283,0.657273715262
2,San Francisco Unified,68478,3830288,Balboa High,115,77.3913043478,0.857183118439
3,Whittier Union High,65128,1934868,La Serna High,25,72.08,0.593833692599
4,South Pasadena Unified,65029,1938455,South Pasadena Senior High,351,90.698005698,0.803680981595
5,Los Angeles Unified,64733,1938968,Van Nuys Senior High,110,91.6545454545,0.765187419216
6,William S. Hart Union High,65136,1995802,Valencia High,202,87.2178217822,0.553500458575
7,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,44,74.8409090909,0.816042024447
8,San Gabriel Unified,75291,1995810,Gabrielino High,306,82.5980392157,0.733281579239
9,Los Angeles Unified,64733,1932847,Los Angeles Center for Enrich,73,91.9452054795,0.740799366838
10,Arcadia Unified,64261,1930288,Arcadia High,1480,88.5756756757,0.641412361689
11,Monrovia Unified,64790,1935923,Monrovia High,13,92.0,0.687778528022
12,William S. Hart Union High,65136,102459,Golden Valley High,75,81.24,0.493247068338
13,Walnut Valley Unified,73460,1932862,Diamond Bar High,1347,83.5070527097,0.57246031746
14,San Francisco Unified,68478,3833407,Lowell High,582,98.3917525773,0.826167975509
15,West Covina Unified,65094,122432,Edgewood High,11,100.0,0.718396082032
16,San Francisco Unified,68478,119875,S.F. International High,39,0.0,0.927743252017
17,El Monte Union High,64519,1937481,Rosemead High,110,81.7818181818,0.809498750164
18,William S. Hart Union High,65136,102475,West Ranch High,243,90.8765432099,0.56037496028
19,William S. Hart Union High,65136,1933902,Hart (William S.) Senior High,57,82.5263157895,0.493247068338
20,Santa Monica-Malibu Unified,64980,1938000,Santa Monica High,155,87.0838709677,0.83513562224
21,West Covina Unified,65094,1939537,West Covina High,76,80.1973684211,0.722227984649
22,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,38,84.4736842105,0.750386750387
23,Los Angeles Unified,64733,1931864,Grover Cleveland High,126,87.3333333333,0.695140327745
24,Los Angeles Unified,64733,1939040,Venice Senior High,52,74.8076923077,0.805606900801
25,ABC Unified,64212,1931880,Whitney (Gretchen) High,316,99.6740506329,0.669346150659
26,San Francisco Unified,68478,3839081,Washington (George) High,316,73.6993670886,0.859501229364
27,Long Beach Unified,64725,1995539,Calif Acad Math and Science,54,100.0,0.641695637546
28,Los Angeles Unified,64733,1932920,Fairfax Senior High,75,70.6933333333,0.843086361491
29,ABC Unified,64212,1930361,Artesia High,23,65.1739130435,0.684382665576
30,Pomona Unified,64907,1995901,Diamond Ranch High,131,88.2442748092,0.694546617624
31,San Francisco Unified,68478,3830403,Marshall (Thurgood) High,12,67.0,0.868364791399
32,Antelope Valley Union High,64246,1995398,Highland High,63,74.9365079365,0.419696176008
33,Torrance Unified,65060,1939602,West High,471,87.5902335456,0.643809331448
34,Downey Unified,64451,1932441,Downey High,33,91.0909090909,0.687788741231
35,Rowland Unified,73452,1937564,Rowland (John A.) High,433,84.3949191686,0.58049122807
36,Alhambra Unified,75713,1930163,Alhambra High,210,78.9904761905,0.663436301232
