,District,District Code,School Code,School Name,number,score,vote
0,Las Virgenes Unified,64683,1931781,Calabasas High,142,79.0,0.64766536965
1,Glendale Unified,64568,1934082,Herbert Hoover High,53,84.8679245283,0.657273715262
2,San Francisco Unified,68478,3830288,Balboa High,224,62.3839285714,0.857183118439
3,Whittier Union High,65128,1934868,La Serna High,25,72.08,0.593833692599
4,South Pasadena Unified,65029,1938455,South Pasadena Senior High,654,88.874617737,0.803680981595
5,Los Angeles Unified,64733,1938968,Van Nuys Senior High,199,89.9195979899,0.765187419216
6,William S. Hart Union High,65136,1995802,Valencia High,376,85.5053191489,0.553500458575
7,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,44,74.8409090909,0.816042024447
8,San Gabriel Unified,75291,1995810,Gabrielino High,580,82.1224137931,0.733281579239
9,Los Angeles Unified,64733,1932847,Los Angeles Center for Enrich,132,87.2803030303,0.740799366838
10,Arcadia Unified,64261,1930288,Arcadia High,2929,84.3373164903,0.641412361689
11,Monrovia Unified,64790,1935923,Monrovia High,25,83.84,0.687778528022
12,William S. Hart Union High,65136,102459,Golden Valley High,124,74.0806451613,0.493247068338
13,Walnut Valley Unified,73460,1932862,Diamond Bar High,2639,78.9643804471,0.57246031746
14,San Francisco Unified,68478,3833407,Lowell High,1156,93.4498269896,0.826167975509
15,West Covina Unified,65094,122432,Edgewood High,11,100.0,0.718396082032
16,San Francisco Unified,68478,119875,S.F. International High,76,15.7631578947,0.927743252017
17,El Monte Union High,64519,1937481,Rosemead High,185,74.5675675676,0.809498750164
18,William S. Hart Union High,65136,102475,West Ranch High,460,84.9891304348,0.56037496028
19,William S. Hart Union High,65136,1933902,Hart (William S.) Senior High,86,80.3837209302,0.493247068338
20,Santa Monica-Malibu Unified,64980,1938000,Santa Monica High,292,81.1815068493,0.83513562224
21,West Covina Unified,65094,1939537,West Covina High,122,78.7131147541,0.722227984649
22,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,38,84.4736842105,0.750386750387
23,Los Angeles Unified,64733,1931864,Grover Cleveland High,225,90.6888888889,0.695140327745
24,Los Angeles Unified,64733,1939040,Venice Senior High,75,79.8933333333,0.805606900801
25,ABC Unified,64212,1931880,Whitney (Gretchen) High,624,98.7451923077,0.669346150659
26,San Francisco Unified,68478,3839081,Washington (George) High,610,60.8213114754,0.859501229364
27,Long Beach Unified,64725,1995539,Calif Acad Math and Science,108,97.1944444444,0.641695637546
28,Los Angeles Unified,64733,1932920,Fairfax Senior High,127,64.6377952756,0.843086361491
29,ABC Unified,64212,1930361,Artesia High,23,65.1739130435,0.684382665576
30,Pomona Unified,64907,1995901,Diamond Ranch High,245,79.3755102041,0.694546617624
31,San Francisco Unified,68478,3830403,Marshall (Thurgood) High,12,67.0,0.868364791399
32,Antelope Valley Union High,64246,1995398,Highland High,74,74.6486486486,0.419696176008
33,Torrance Unified,65060,1939602,West High,926,79.4902807775,0.643809331448
34,Downey Unified,64451,1932441,Downey High,45,91.3333333333,0.687788741231
35,Rowland Unified,73452,1937564,Rowland (John A.) High,840,78.8333333333,0.58049122807
36,Alhambra Unified,75713,1930163,Alhambra High,399,77.4411027569,0.663436301232
37,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,88,92.8863636364,0.619047619048
38,San Francisco Unified,68478,3830387,Asawa (Ruth) San Francisco Sc,117,88.9230769231,0.886606782398
39,Los Angeles Unified,64733,1938612,William Howard Taft Senior Hi,68,83.5735294118,0.705670515605
40,Los Angeles Unified,64733,1995448,Francisco Bravo Medical Magne,22,95.5,0.870950978694
41,Walnut Valley Unified,73460,1939149,Walnut High,1983,85.7125567322,0.622432392493
42,Los Angeles Unified,64733,1935568,John Marshall Senior High,50,67.94,0.690659481653
43,Alhambra Unified,75713,1934553,Mark Keppel High,920,84.3739130435,0.663436301232
44,Glendale Unified,64568,1933530,Glendale High,65,90.7230769231,0.649555830428
45,Downey Unified,64451,1939164,Warren High,72,79.0555555556,0.687788741231
46,San Francisco Unified,68478,3834082,Mission High,85,37.5882352941,0.938423268274
47,William S. Hart Union High,65136,1931492,Canyon High,76,90.7105263158,0.579585410653
48,Beverly Hills Unified,64311,1930981,Beverly Hills High,296,77.4189189189,0.720806916427
49,Redondo Beach Unified,75341,1937143,Redondo Union High,318,83.713836478,0.71605516872
50,Bellflower Unified,64303,1935618,Mayfair High,49,83.612244898,0.728351881293
51,Palos Verdes Peninsula Unified,64865,1996552,Palos Verdes High,272,87.0551470588,0.558045395403
52,La Canada Unified,64659,1934611,La Canada High,537,90.8249534451,0.590101694915
53,Glendora Unified,64576,1933597,Glendora High,137,89.1240875912,0.519502353732
54,Los Angeles Unified,64733,1936160,Nathaniel Narbonne Senior Hig,42,67.0238095238,0.690962980886
55,Alhambra Unified,75713,1937697,San Gabriel High,198,83.8535353535,0.733281579239
56,Long Beach Unified,64725,1936947,Polytechnic High,390,68.7,0.836324705586
57,Torrance Unified,65060,1938752,Torrance High,495,68.9333333333,0.680197090568
58,Palos Verdes Peninsula Unified,64865,1995588,Palos Verdes Penins. High,1249,85.1977582066,0.558045395403
59,ABC Unified,64212,1930056,Cerritos High,1277,82.2498042287,0.669346150659
60,Los Angeles Unified,64733,1937226,Reseda Senior High,22,91.0,0.695140327745
61,Bonita Unified,64329,1937739,San Dimas High,13,77.0,0.532519190509
62,Bonita Unified,64329,1931088,Bonita High,51,86.2352941176,0.532519190509
63,Hacienda la Puente Unified,73445,1935246,Los Altos High,166,84.3253012048,0.629021981523
64,Long Beach Unified,64725,1934678,Lakewood High,122,69.7131147541,0.627080240644
65,Las Virgenes Unified,64683,1930080,Agoura High,173,86.2716763006,0.609734381956
66,Rowland Unified,73452,1936228,Nogales High,11,82.0,0.765904748425
67,ABC Unified,64212,1933159,Gahr (Richard) High,195,73.4717948718,0.669346150659
68,Glendale Unified,64568,1932144,Crescenta Valley High,1056,86.0255681818,0.601872599232
69,El Monte Union High,64519,1932664,El Monte High,12,75.0,0.771187739464
70,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,595,80.1647058824,0.629021981523
71,Norwalk-La Mirada Unified,64840,1934728,La Mirada High,80,67.525,0.651520069242
72,Long Beach Unified,64725,1935758,Millikan High,92,77.2608695652,0.575231756596
73,Charter Oak Unified,64378,1931666,Charter Oak High,12,58.0,0.544794738036
74,Torrance Unified,65060,1936277,North High,578,64.8598615917,0.695008146941
