,District,District Code,School Code,School Name,number,score,vote
0,Hacienda la Puente Unified,73445,1933316,"Puente Hills High, Alter.",12,9.0,0.770707392088
1,Pomona Unified,64907,1933324,Garey Senior High,1144,37.6756993007,0.694546617624
2,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,58,41.275862069,0.682593856655
3,Los Angeles Unified,64733,1937424,"School of Communications, New",328,12.0548780488,0.870950978694
4,Los Angeles Unified,64733,6058002,Robert Fulton College Prepara,683,33.4319180088,0.808184727938
5,Burbank Unified,64337,1933332,"Monterey High, Cont.",56,15.0,0.808108640031
6,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,525,38.1752380952,0.76065511572
7,Whittier Union High,65128,1931302,California High,1540,44.7753246753,0.678964637258
8,William S. Hart Union High,65136,102459,Golden Valley High,637,42.9607535322,0.493247068338
9,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",19,0.0,0.83513562224
10,Lynwood Unified,64774,1935428,Vista High (Continuation),44,2.0,0.818173573955
11,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,1627,44.0036877689,0.884973040556
12,Los Angeles Unified,64733,1931336,Cheviot Hills Continuation,51,11.6666666667,0.816042024447
13,El Monte Union High,64519,1937481,Rosemead High,1123,56.9786286732,0.809498750164
14,William S. Hart Union High,65136,102475,West Ranch High,242,45.7892561983,0.56037496028
15,Los Angeles Unified,64733,110668,Frida Kahlo High,110,21.5,0.922107850668
16,West Covina Unified,65094,1939537,West Covina High,1232,52.3327922078,0.722227984649
17,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,45,66.6444444444,0.750386750387
18,Los Angeles Unified,64733,1931377,Earhart (Amelia) Continuation,56,12.9285714286,0.806232062321
19,Los Angeles Unified,64733,1931385,Einstein (Albert) Cont.,62,11.4838709677,0.706802053886
20,Los Angeles Unified,64733,1931393,Highland Park Continuation,46,12.9782608696,0.820382855174
21,Torrance Unified,65060,1939602,West High,340,61.9382352941,0.643809331448
22,Los Angeles Unified,64733,1931419,Leonis (Miguel) Continuation,44,16.0909090909,0.658119126159
