,District,District Code,School Code,School Name,number,score,vote
0,Hacienda la Puente Unified,73445,1933316,"Puente Hills High, Alter.",12,9.0,0.770707392088
1,Pomona Unified,64907,1933324,Garey Senior High,2272,21.8908450704,0.694546617624
2,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,69,37.5652173913,0.682593856655
3,Los Angeles Unified,64733,1937424,"School of Communications, New",623,7.658105939,0.870950978694
4,Los Angeles Unified,64733,6058002,Robert Fulton College Prepara,1344,19.7723214286,0.808184727938
5,Burbank Unified,64337,1933332,"Monterey High, Cont.",56,15.0,0.808108640031
6,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,1031,23.7216294859,0.76065511572
7,Whittier Union High,65128,1931302,California High,2993,38.6294687604,0.678964637258
8,William S. Hart Union High,65136,102459,Golden Valley High,1227,31.761206194,0.493247068338
9,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",19,0.0,0.83513562224
10,Lynwood Unified,64774,1935428,Vista High (Continuation),69,1.27536231884,0.818173573955
11,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,3107,35.2111361442,0.884973040556
12,Los Angeles Unified,64733,1931336,Cheviot Hills Continuation,74,9.37837837838,0.816042024447
13,El Monte Union High,64519,1937481,Rosemead High,2200,46.9818181818,0.809498750164
14,William S. Hart Union High,65136,102475,West Ranch High,445,39.2539325843,0.56037496028
15,Los Angeles Unified,64733,110668,Frida Kahlo High,145,17.0275862069,0.922107850668
16,West Covina Unified,65094,1939537,West Covina High,2359,41.6935142009,0.722227984649
17,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,57,57.8771929825,0.750386750387
18,Los Angeles Unified,64733,1931377,Earhart (Amelia) Continuation,56,12.9285714286,0.806232062321
19,Los Angeles Unified,64733,1931385,Einstein (Albert) Cont.,62,11.4838709677,0.706802053886
20,Los Angeles Unified,64733,1931393,Highland Park Continuation,46,12.9782608696,0.820382855174
21,Torrance Unified,65060,1939602,West High,655,52.1679389313,0.643809331448
22,Los Angeles Unified,64733,1931419,Leonis (Miguel) Continuation,44,16.0909090909,0.658119126159
23,Rowland Unified,73452,1937564,Rowland (John A.) High,1728,48.6388888889,0.58049122807
24,Los Angeles Unified,64733,1935519,Manual Arts Senior High,3621,12.8251864126,0.87685560054
25,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",170,4.17647058824,0.66717603912
26,Los Angeles Unified,64733,114850,West Adams Preparatory High,2805,17.8203208556,0.904467987103
27,Los Angeles Unified,64733,1931435,Lewis (Robert H.) Continuation,37,2.7027027027,0.750625360785
28,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,57,62.7368421053,0.619047619048
29,Los Angeles Unified,64733,1931450,Jack London Continuation,70,11.4,0.743107540624
