,District,District Code,School Code,School Name,number,score,vote
0,Baldwin Park Unified,64287,1936384,North Park Continuation High,22,5.0,0.761875699318
1,Los Angeles Unified,64733,102913,Middle College High,30,49.9333333333,0.73945599022
2,Los Angeles Unified,64733,107011,International Studies Learnin,47,53.0212765957,0.837803249499
3,Las Virgenes Unified,64683,1931781,Calabasas High,1250,78.2672,0.64766536965
4,Los Angeles Unified,64733,102921,Harbor Teacher Preparation Ac,66,92.1212121212,0.810384159139
5,Acton-Agua Dulce Unified,75309,1995786,Vasquez High,217,54.2764976959,0.512411847673
6,Los Angeles Unified,64733,124503,Green Design So Region HS#2C,14,29.0,0.924713206895
7,Pomona Unified,64907,1933324,Garey Senior High,98,41.693877551,0.694546617624
8,Glendale Unified,64568,1934082,Herbert Hoover High,550,65.0127272727,0.657273715262
9,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,84,47.7738095238,0.682593856655
10,San Francisco Unified,68478,3830288,Balboa High,339,62.6843657817,0.857183118439
11,Los Angeles Unified,64733,1932888,Downtown Business High,76,66.8157894737,0.854956965253
12,Los Angeles Unified,64733,1995794,Youth Opportunities Unlim,56,7.28571428571,0.908750514846
13,Burbank Unified,64337,1933332,"Monterey High, Cont.",56,23.0,0.808108640031
14,Bellflower Unified,64303,1930775,Bellflower High,359,55.1727019499,0.728351881293
15,Los Angeles Unified,64733,1938968,Van Nuys Senior High,344,80.1686046512,0.765187419216
16,William S. Hart Union High,65136,1995802,Valencia High,1921,76.2571577303,0.553500458575
17,Monrovia Unified,64790,1935899,Canyon Oaks High,19,26.0,0.687778528022
18,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,875,67.1382857143,0.816042024447
19,William S. Hart Union High,65136,1996321,Academy of the Canyons,239,95.7154811715,0.553500458575
20,Covina-Valley Unified,64436,1936418,Northview High,336,58.7857142857,0.712248743719
21,Los Angeles Unified,64733,1934371,Thomas Jefferson Senior High,71,14.0,0.922107850668
22,Compton Unified,73437,1995695,"Chavez (Cesar) High, Cont.",22,0.0,0.843711153803
23,Whittier Union High,65128,1931302,California High,683,64.4597364568,0.678964637258
24,Los Angeles Unified,64733,120360,Daniel Pearl Journalism & Comm,80,80.025,0.768974432634
