,District,District Code,School Code,School Name,number,score,vote
0,Baldwin Park Unified,64287,1936384,North Park Continuation High,22,5.0,0.761875699318
1,Los Angeles Unified,64733,102913,Middle College High,54,31.3518518519,0.73945599022
2,Los Angeles Unified,64733,107011,International Studies Learnin,59,45.6949152542,0.837803249499
3,Las Virgenes Unified,64683,1931781,Calabasas High,2350,64.9634042553,0.64766536965
4,Los Angeles Unified,64733,102921,Harbor Teacher Preparation Ac,100,88.8,0.810384159139
5,Acton-Agua Dulce Unified,75309,1995786,Vasquez High,414,35.6884057971,0.512411847673
6,Los Angeles Unified,64733,124503,Green Design So Region HS#2C,25,28.12,0.924713206895
7,Pomona Unified,64907,1933324,Garey Senior High,146,28.6849315068,0.694546617624
8,Glendale Unified,64568,1934082,Herbert Hoover High,1089,53.4903581267,0.657273715262
9,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,119,38.6890756303,0.682593856655
10,San Francisco Unified,68478,3830288,Balboa High,654,48.1865443425,0.857183118439
11,Los Angeles Unified,64733,1932888,Downtown Business High,90,63.1111111111,0.854956965253
12,Los Angeles Unified,64733,1995794,Youth Opportunities Unlim,56,7.28571428571,0.908750514846
13,Burbank Unified,64337,1933332,"Monterey High, Cont.",56,23.0,0.808108640031
14,Bellflower Unified,64303,1930775,Bellflower High,646,51.2151702786,0.728351881293
15,Los Angeles Unified,64733,1938968,Van Nuys Senior High,662,69.4093655589,0.765187419216
16,William S. Hart Union High,65136,1995802,Valencia High,3665,64.3186903138,0.553500458575
17,Monrovia Unified,64790,1935899,Canyon Oaks High,19,26.0,0.687778528022
18,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,1709,46.2703335284,0.816042024447
19,William S. Hart Union High,65136,1996321,Academy of the Canyons,468,78.6452991453,0.553500458575
20,Covina-Valley Unified,64436,1936418,Northview High,626,47.5591054313,0.712248743719
21,Los Angeles Unified,64733,1934371,Thomas Jefferson Senior High,93,11.8709677419,0.922107850668
