,District,District Code,School Code,School Name,number,score,vote
0,Pomona Unified,64907,1933324,Garey Senior High,619,39.9079159935,0.694546617624
1,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,61,50.8360655738,0.682593856655
2,Los Angeles Unified,64733,1937424,"School of Communications, New",138,13.0144927536,0.870950978694
3,Los Angeles Unified,64733,6058002,Robert Fulton College Prepara,353,38.7422096317,0.808184727938
4,Burbank Unified,64337,1933332,"Monterey High, Cont.",37,17.0,0.808108640031
5,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,414,46.2173913043,0.76065511572
6,Whittier Union High,65128,1931302,California High,1114,52.1149012567,0.678964637258
7,William S. Hart Union High,65136,102459,Golden Valley High,760,60.7171052632,0.493247068338
8,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",14,11.0,0.83513562224
9,Lynwood Unified,64774,1935428,Vista High (Continuation),24,4.0,0.818173573955
10,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,890,43.7573033708,0.884973040556
11,Los Angeles Unified,64733,1931336,Cheviot Hills Continuation,11,18.0,0.816042024447
12,El Monte Union High,64519,1937481,Rosemead High,644,61.0916149068,0.809498750164
13,William S. Hart Union High,65136,102475,West Ranch High,1040,74.8346153846,0.56037496028
14,Los Angeles Unified,64733,110668,Frida Kahlo High,41,24.2195121951,0.922107850668
15,West Covina Unified,65094,1939537,West Covina High,995,57.5507537688,0.722227984649
16,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,278,85.8021582734,0.750386750387
17,Los Angeles Unified,64733,1931377,Earhart (Amelia) Continuation,20,10.0,0.806232062321
18,Los Angeles Unified,64733,1931385,Einstein (Albert) Cont.,20,10.0,0.706802053886
19,Torrance Unified,65060,1939602,West High,796,79.2361809045,0.643809331448
20,Los Angeles Unified,64733,1931419,Leonis (Miguel) Continuation,30,13.0,0.658119126159
21,Rowland Unified,73452,1937564,Rowland (John A.) High,825,70.3345454545,0.58049122807
22,Los Angeles Unified,64733,1935519,Manual Arts Senior High,910,21.9098901099,0.87685560054
23,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",47,9.0,0.66717603912
24,Los Angeles Unified,64733,114850,West Adams Preparatory High,706,24.0184135977,0.904467987103
25,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,119,87.0,0.619047619048
26,Los Angeles Unified,64733,1931450,Jack London Continuation,28,10.8571428571,0.743107540624
27,Bonita Unified,64329,1937598,Chaparral High (Continuation),26,31.0,0.532519190509
28,Los Angeles Unified,64733,1931468,Metropolitan Continuation,31,16.3225806452,0.846559206448
29,San Gabriel Unified,75291,1995810,Gabrielino High,619,68.5848142165,0.733281579239
30,Los Angeles Unified,64733,1935568,John Marshall Senior High,966,51.2608695652,0.690659481653
31,Los Angeles Unified,64733,1931476,Canoga Park Senior High,584,44.4075342466,0.744038635678
32,Los Angeles Unified,64733,1937622,San Fernando Senior High,931,38.4017185822,0.823900205693
33,Glendale Unified,64568,1933530,Glendale High,987,60.4468085106,0.649555830428
34,Los Angeles Unified,64733,1931484,Mission Continuation,17,0.0,0.823900205693
35,Glendora Unified,64576,1939677,Whitcomb Continuation High,16,0.0,0.525503015274
36,Los Angeles Unified,64733,112862,Student Empowerment Academy,124,32.9274193548,0.922107850668
37,Long Beach Unified,64725,125153,Beach High-ILP,88,7.0,0.575231756596
38,Tulelake Basin Joint Unified,73593,4737250,Tulelake High,54,50.1481481481,0.294797687861
39,William S. Hart Union High,65136,1931492,Canyon High,802,64.753117207,0.579585410653
40,Los Angeles Unified,64733,112870,Los Angeles School of Global,117,36.811965812,0.81433061866
41,Los Angeles Unified,64733,1931500,Owensmouth Continuation,16,6.0,0.744038635678
42,Whittier Union High,65128,1939701,Whittier High,864,50.8009259259,0.78215661104
43,Bellflower Unified,64303,1935618,Mayfair High,769,58.8257477243,0.728351881293
44,Los Angeles Unified,64733,1931526,Carson Senior High,914,44.8008752735,0.776502242152
45,Los Angeles Unified,64733,121095,Ambassador School of Global,140,32.0142857143,0.823566084788
46,San Francisco Unified,68478,102103,Jordan (June) School for Equi,74,21.7297297297,0.857183118439
47,Los Angeles Unified,64733,1931534,Rogers (Will) Continuation,25,12.4,0.765187419216
48,San Francisco Unified,68478,3830031,Wells (Ida B.) High,68,13.9705882353,0.910737683438
49,Glendora Unified,64576,1933597,Glendora High,828,74.5241545894,0.519502353732
50,Alhambra Unified,75713,1937697,San Gabriel High,803,63.9439601494,0.733281579239
51,Los Angeles Unified,64733,1931559,Stoney Point Continuation,35,8.91428571429,0.545961333175
52,Upper Lake Union High,64071,1737006,Upper Lake High,102,36.431372549,0.459459459459
53,Compton Unified,73437,1931567,Centennial High,385,18.2467532468,0.843711153803
54,San Francisco Unified,68478,3830064,"Downtown High, Cont.",18,0.0,0.938828162129
55,El Monte Union High,64519,1932680,Mountain View High,608,38.0065789474,0.779574617683
56,Woodland Joint Unified,72710,5738810,"Cache Creek High, Cont.",25,8.0,0.598051157125
57,Los Angeles Unified,64733,117051,Edward R. Roybal Learning Cen,466,32.5622317597,0.868001251173
58,Bonita Unified,64329,1937739,San Dimas High,458,67.0720524017,0.532519190509
59,Los Angeles Unified,64733,117069,Helen Bernstein High,352,23.1534090909,0.869295923769
60,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,596,43.0469798658,0.66824754731
61,Walnut Valley Unified,73460,1937747,Ron Hockwalt Academies (Conti,11,10.0,0.622432392493
62,Los Angeles Unified,64733,117077,Academic Performance Excellenc,100,31.95,0.869295923769
63,Covina-Valley Unified,64436,1931617,"Fairvalley High, Cont.",59,4.71186440678,0.712248743719
64,Downey Unified,64451,1931625,Columbus Continuation,54,8.0,0.687788741231
65,Los Angeles Unified,64733,102764,Alonzo Community Day,74,16.4054054054,0.869295923769
66,Los Angeles Unified,64733,1939859,Woodrow Wilson Senior High,686,36.0626822157,0.750386750387
67,ABC Unified,64212,1931641,"Tracy High, Cont.",94,12.6382978723,0.669346150659
68,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,616,66.0827922078,0.629021981523
69,Scott Valley Unified,76455,4733309,Etna Union High,66,51.696969697,0.324840764331
70,Long Beach Unified,64725,1935758,Millikan High,1543,56.365521711,0.575231756596
71,Charter Oak Unified,64378,1931666,Charter Oak High,652,55.8742331288,0.544794738036
72,Los Angeles Unified,64733,6019475,Thirty-Second St. Perf. Arts,110,68.3,0.904467987103
73,Pasadena Unified,64881,1931674,Marshall Fundamental,414,68.7584541063,0.640983033059
74,Los Angeles Unified,64733,1930650,Phineas Banning Senior High,1077,43.2813370474,0.810384159139
75,Los Angeles Unified,64733,1931682,Zane Grey Continuation,16,0.0,0.695140327745
76,Long Beach Unified,64725,1939875,Wilson High,1506,58.3466135458,0.742538438348
77,Los Angeles Unified,64733,1931690,Independence Continuation,19,16.0,0.768974432634
78,Los Angeles Unified,64733,1937838,San Pedro Senior High,951,48.5951629863,0.721876046901
79,San Francisco Unified,68478,3830197,Independence High,52,25.8269230769,0.825506052539
80,Los Angeles Unified,64733,1931708,Chatsworth Senior High,827,50.4268440145,0.545961333175
81,San Francisco Unified,68478,3830205,Wallenberg (Raoul) Traditiona,237,61.7046413502,0.885810926529
82,Manhattan Beach Unified,75333,1935808,Mira Costa High,870,90.2,0.682744775044
83,Los Angeles Unified,64733,1931716,Valley Alternative Magnet,61,62.3114754098,0.768974432634
84,Lynwood Unified,64774,1935436,Lynwood High,834,33.0167865707,0.818173573955
85,Hacienda la Puente Unified,73445,1939925,Workman (William) High,439,42.6970387244,0.765904748425
86,Colusa Unified,61598,631259,Colusa High,112,53.5892857143,0.338235294118
87,William S. Hart Union High,65136,1931740,Saugus High,891,67.9831649832,0.45738545338
88,Los Angeles County Office of Education,10199,1995232,Special Education,34,17.4705882353,0.755491167399
89,Los Angeles Unified,64733,1933795,Ulysses S. Grant Senior High,812,46.5221674877,0.743107540624
90,Los Angeles Unified,64733,1939941,John F. Kennedy High,793,49.0176544767,0.607977991747
91,San Francisco Unified,68478,3830254,Burton (Phillip and Sala) Aca,305,42.8852459016,0.852908045296
92,Whittier Union High,65128,1937903,Santa Fe High,1016,53.9419291339,0.783517010062
93,Inglewood Unified,64634,1934249,Hillcrest High,11,0.0,0.841366589141
94,Los Angeles Unified,64733,106997,Orthopaedic Hospital,376,59.6968085106,0.904467987103
95,Los Angeles Unified,64733,1935865,James Monroe High,791,38.7484197219,0.706802053886
96,Los Angeles Unified,64733,107003,Northridge Academy High,423,54.2884160757,0.746801978509
97,Los Angeles Unified,64733,102913,Middle College High,172,65.8488372093,0.73945599022
98,Los Angeles Unified,64733,107011,International Studies Learnin,149,48.2214765101,0.837803249499
99,Las Virgenes Unified,64683,1931781,Calabasas High,620,81.2451612903,0.64766536965
100,Los Angeles Unified,64733,102921,Harbor Teacher Preparation Ac,161,94.1863354037,0.810384159139
101,San Francisco Unified,68478,3830288,Balboa High,468,57.8311965812,0.857183118439
102,Monrovia Unified,64790,1935899,Canyon Oaks High,25,28.0,0.687778528022
103,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,1149,60.5030461271,0.816042024447
104,Monrovia Unified,64790,1935923,Monrovia High,606,61.2673267327,0.687778528022
105,Pasadena Unified,64881,1936822,Pasadena High,710,54.2802816901,0.689621329844
106,William S. Hart Union High,65136,1933902,Hart (William S.) Senior High,714,74.7857142857,0.493247068338
107,Santa Monica-Malibu Unified,64980,1938000,Santa Monica High,1052,72.961026616,0.83513562224
108,San Francisco Unified,68478,3830353,Intl Studies Academy,85,30.7058823529,0.938828162129
109,Los Angeles Unified,64733,1931864,Grover Cleveland High,1173,60.1534526854,0.695140327745
110,ABC Unified,64212,1931880,Whitney (Gretchen) High,276,100.0,0.669346150659
111,San Francisco Unified,68478,3830387,Asawa (Ruth) San Francisco Sc,239,89.1966527197,0.886606782398
112,San Francisco County Office of Education,10389,3830395,San Francisco Co. Opportunity,17,7.0,0.929534630172
113,Montebello Unified,64808,1935998,Montebello High,1113,38.2192273136,0.737907992804
114,Centinela Valley Union High,64352,1933951,Hawthorne High,660,37.3272727273,0.874346343312
115,San Francisco Unified,68478,3830403,Marshall (Thurgood) High,195,32.0461538462,0.868364791399
116,Antelope Valley Union High,64246,1995398,Highland High,1073,55.825722274,0.419696176008
117,Antelope Valley Union High,64246,1995406,Littlerock High,487,40.498973306,0.492362982929
118,Los Angeles Unified,64733,1931930,Avalon Continuation,13,38.0,0.810384159139
119,Los Angeles Unified,64733,1938885,University Senior High,624,57.1875,0.816501215559
120,Torrance Unified,65060,1938083,"Shery (Kurt T.) High, Cont.",28,11.0,0.680197090568
121,Alhambra Unified,75713,1995430,"Independence High, Alter.",26,15.3461538462,0.663436301232
122,San Francisco County Office of Education,10389,3830445,Civic Center Sec.,13,0.0,0.925450855764
123,Inglewood Unified,64634,1936046,Morningside High,402,30.7388059701,0.838403294368
124,Big Valley Joint Unified,64089,1831601,Big Valley Jr. Sr. High,12,83.0,0.183333333333
125,Los Angeles Unified,64733,1931955,"Ellington (Duke) High, Cont.",26,7.53846153846,0.73945599022
126,Los Angeles Unified,64733,1995448,Francisco Bravo Medical Magne,786,72.0788804071,0.870950978694
127,Compton Unified,73437,1931963,Compton High,778,20.7455012853,0.898423817863
128,Pasadena Unified,64881,117440,CIS Academy,31,13.0,0.689621329844
129,Duarte Unified,64469,1936079,Mt. Olive Alternative Educatio,15,0.0,0.69235280319
130,Los Angeles Unified,64733,1934033,Hollywood Senior High,659,59.5948406677,0.869295923769
131,Los Angeles County Office of Education,10199,123604,Phoenix Academy Residential,23,12.9130434783,0.755491167399
132,Los Angeles Unified,64733,1931997,Odyssey Continuation,13,15.0,0.837803249499
133,Los Angeles Unified,64733,1995489,Los Angeles Unified Alternativ,437,9.11899313501,0.81433061866
134,Pasadena Unified,64881,1936103,John Muir High,357,32.2745098039,0.669747025528
135,Glendale Unified,64568,1995497,Verdugo Academy,34,49.6470588235,0.66717603912
