,District,District Code,School Code,School Name,number,score,vote
0,Pomona Unified,64907,1933324,Garey Senior High,1223,22.1283728536,0.694546617624
1,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,72,45.8194444444,0.682593856655
2,Los Angeles Unified,64733,1937424,"School of Communications, New",264,7.57575757576,0.870950978694
3,Los Angeles Unified,64733,6058002,Robert Fulton College Prepara,687,22.8588064047,0.808184727938
4,Burbank Unified,64337,1933332,"Monterey High, Cont.",37,17.0,0.808108640031
5,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,803,27.7447073474,0.76065511572
6,Whittier Union High,65128,1931302,California High,2176,42.2132352941,0.678964637258
7,William S. Hart Union High,65136,102459,Golden Valley High,1485,44.0538720539,0.493247068338
8,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",14,11.0,0.83513562224
9,Lynwood Unified,64774,1935428,Vista High (Continuation),37,2.59459459459,0.818173573955
10,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,1708,33.8612412178,0.884973040556
11,Los Angeles Unified,64733,1931336,Cheviot Hills Continuation,11,18.0,0.816042024447
12,El Monte Union High,64519,1937481,Rosemead High,1251,49.0303756994,0.809498750164
13,William S. Hart Union High,65136,102475,West Ranch High,2029,62.2276983736,0.56037496028
14,Los Angeles Unified,64733,110668,Frida Kahlo High,53,18.7358490566,0.922107850668
15,West Covina Unified,65094,1939537,West Covina High,1919,44.2251172486,0.722227984649
16,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,533,53.7692307692,0.750386750387
17,Los Angeles Unified,64733,1931377,Earhart (Amelia) Continuation,20,10.0,0.806232062321
18,Los Angeles Unified,64733,1931385,Einstein (Albert) Cont.,20,10.0,0.706802053886
19,Torrance Unified,65060,1939602,West High,1583,65.4264055591,0.643809331448
20,Los Angeles Unified,64733,1931419,Leonis (Miguel) Continuation,30,13.0,0.658119126159
21,Rowland Unified,73452,1937564,Rowland (John A.) High,1626,57.4870848708,0.58049122807
22,Los Angeles Unified,64733,1935519,Manual Arts Senior High,1787,13.6295467264,0.87685560054
23,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",91,6.75824175824,0.66717603912
24,Los Angeles Unified,64733,114850,West Adams Preparatory High,1341,17.7576435496,0.904467987103
25,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,218,80.9036697248,0.619047619048
26,Los Angeles Unified,64733,1931450,Jack London Continuation,28,10.8571428571,0.743107540624
27,Bonita Unified,64329,1937598,Chaparral High (Continuation),40,22.6,0.532519190509
28,Los Angeles Unified,64733,1931468,Metropolitan Continuation,31,16.3225806452,0.846559206448
29,San Gabriel Unified,75291,1995810,Gabrielino High,1195,62.729707113,0.733281579239
30,Los Angeles Unified,64733,1935568,John Marshall Senior High,1853,36.2504047491,0.690659481653
31,Los Angeles Unified,64733,1931476,Canoga Park Senior High,1149,31.546562228,0.744038635678
32,Los Angeles Unified,64733,1937622,San Fernando Senior High,1804,26.2921286031,0.823900205693
33,Glendale Unified,64568,1933530,Glendale High,1932,48.2707039337,0.649555830428
34,Los Angeles Unified,64733,1931484,Mission Continuation,17,0.0,0.823900205693
35,Glendora Unified,64576,1939677,Whitcomb Continuation High,16,0.0,0.525503015274
36,Los Angeles Unified,64733,112862,Student Empowerment Academy,246,23.5365853659,0.922107850668
37,Long Beach Unified,64725,125153,Beach High-ILP,122,5.04918032787,0.575231756596
38,Tulelake Basin Joint Unified,73593,4737250,Tulelake High,68,41.2647058824,0.294797687861
39,William S. Hart Union High,65136,1931492,Canyon High,1593,51.472693032,0.579585410653
40,Los Angeles Unified,64733,112870,Los Angeles School of Global,228,21.4692982456,0.81433061866
41,Los Angeles Unified,64733,1931500,Owensmouth Continuation,16,6.0,0.744038635678
42,Whittier Union High,65128,1939701,Whittier High,1697,42.5450795522,0.78215661104
43,Bellflower Unified,64303,1935618,Mayfair High,1439,45.8818624044,0.728351881293
44,Los Angeles Unified,64733,1931526,Carson Senior High,1759,27.1125639568,0.776502242152
45,Los Angeles Unified,64733,121095,Ambassador School of Global,265,19.5471698113,0.823566084788
46,San Francisco Unified,68478,102103,Jordan (June) School for Equi,136,11.8235294118,0.857183118439
47,Los Angeles Unified,64733,1931534,Rogers (Will) Continuation,25,12.4,0.765187419216
48,San Francisco Unified,68478,3830031,Wells (Ida B.) High,89,10.6741573034,0.910737683438
49,Glendora Unified,64576,1933597,Glendora High,1617,60.879406308,0.519502353732
50,Alhambra Unified,75713,1937697,San Gabriel High,1585,60.7646687697,0.733281579239
51,Los Angeles Unified,64733,1931559,Stoney Point Continuation,35,8.91428571429,0.545961333175
52,Upper Lake Union High,64071,1737006,Upper Lake High,184,24.625,0.459459459459
53,Compton Unified,73437,1931567,Centennial High,761,9.50591327201,0.843711153803
54,San Francisco Unified,68478,3830064,"Downtown High, Cont.",34,0.0,0.938828162129
55,El Monte Union High,64519,1932680,Mountain View High,1190,27.4882352941,0.779574617683
56,Woodland Joint Unified,72710,5738810,"Cache Creek High, Cont.",25,8.0,0.598051157125
57,Los Angeles Unified,64733,117051,Edward R. Roybal Learning Cen,902,21.0498891353,0.868001251173
58,Bonita Unified,64329,1937739,San Dimas High,898,46.4198218263,0.532519190509
59,Los Angeles Unified,64733,117069,Helen Bernstein High,689,13.2946298984,0.869295923769
60,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,1169,29.9649272883,0.66824754731
61,Walnut Valley Unified,73460,1937747,Ron Hockwalt Academies (Conti,11,10.0,0.622432392493
62,Los Angeles Unified,64733,117077,Academic Performance Excellenc,152,21.7434210526,0.869295923769
63,Covina-Valley Unified,64436,1931617,"Fairvalley High, Cont.",83,3.34939759036,0.712248743719
64,Downey Unified,64451,1931625,Columbus Continuation,54,8.0,0.687788741231
65,Los Angeles Unified,64733,102764,Alonzo Community Day,74,16.4054054054,0.869295923769
66,Los Angeles Unified,64733,1939859,Woodrow Wilson Senior High,1350,22.0666666667,0.750386750387
67,ABC Unified,64212,1931641,"Tracy High, Cont.",187,9.60962566845,0.669346150659
68,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,1200,57.1816666667,0.629021981523
69,Scott Valley Unified,76455,4733309,Etna Union High,91,38.5714285714,0.324840764331
70,Long Beach Unified,64725,1935758,Millikan High,2978,39.0047011417,0.575231756596
71,Charter Oak Unified,64378,1931666,Charter Oak High,1274,42.6656200942,0.544794738036
72,Los Angeles Unified,64733,6019475,Thirty-Second St. Perf. Arts,211,40.336492891,0.904467987103
73,Pasadena Unified,64881,1931674,Marshall Fundamental,831,42.3273164862,0.640983033059
74,Los Angeles Unified,64733,1930650,Phineas Banning Senior High,1983,33.0791729702,0.810384159139
75,Los Angeles Unified,64733,1931682,Zane Grey Continuation,16,0.0,0.695140327745
76,Long Beach Unified,64725,1939875,Wilson High,3008,40.9657579787,0.742538438348
77,Los Angeles Unified,64733,1931690,Independence Continuation,19,16.0,0.768974432634
78,Los Angeles Unified,64733,1937838,San Pedro Senior High,1833,31.8668848882,0.721876046901
79,San Francisco Unified,68478,3830197,Independence High,52,25.8269230769,0.825506052539
80,Los Angeles Unified,64733,1931708,Chatsworth Senior High,1641,32.7599024985,0.545961333175
81,San Francisco Unified,68478,3830205,Wallenberg (Raoul) Traditiona,461,51.6767895879,0.885810926529
82,Manhattan Beach Unified,75333,1935808,Mira Costa High,1676,78.7887828162,0.682744775044
83,Los Angeles Unified,64733,1931716,Valley Alternative Magnet,110,44.5727272727,0.768974432634
84,Lynwood Unified,64774,1935436,Lynwood High,1650,20.5460606061,0.818173573955
85,Hacienda la Puente Unified,73445,1939925,Workman (William) High,835,34.4239520958,0.765904748425
86,Colusa Unified,61598,631259,Colusa High,191,41.4764397906,0.338235294118
87,William S. Hart Union High,65136,1931740,Saugus High,1718,51.3905704307,0.45738545338
88,Los Angeles County Office of Education,10199,1995232,Special Education,34,17.4705882353,0.755491167399
89,Los Angeles Unified,64733,1933795,Ulysses S. Grant Senior High,1574,30.2693773825,0.743107540624
90,Los Angeles Unified,64733,1939941,John F. Kennedy High,1417,36.5024700071,0.607977991747
91,San Francisco Unified,68478,3830254,Burton (Phillip and Sala) Aca,609,29.9376026273,0.852908045296
92,Whittier Union High,65128,1937903,Santa Fe High,1974,47.1717325228,0.783517010062
93,Inglewood Unified,64634,1934249,Hillcrest High,22,4.5,0.841366589141
94,Los Angeles Unified,64733,106997,Orthopaedic Hospital,748,38.2713903743,0.904467987103
95,Los Angeles Unified,64733,1935865,James Monroe High,1564,28.6726342711,0.706802053886
96,Los Angeles Unified,64733,107003,Northridge Academy High,826,35.6840193705,0.746801978509
97,Los Angeles Unified,64733,102913,Middle College High,334,37.4910179641,0.73945599022
98,Los Angeles Unified,64733,107011,International Studies Learnin,270,31.3333333333,0.837803249499
99,Las Virgenes Unified,64683,1931781,Calabasas High,1166,65.4588336192,0.64766536965
100,Los Angeles Unified,64733,102921,Harbor Teacher Preparation Ac,318,80.3490566038,0.810384159139
101,San Francisco Unified,68478,3830288,Balboa High,912,44.7171052632,0.857183118439
102,Monrovia Unified,64790,1935899,Canyon Oaks High,25,28.0,0.687778528022
103,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,2237,38.4112650872,0.816042024447
104,Monrovia Unified,64790,1935923,Monrovia High,1188,46.2356902357,0.687778528022
105,Pasadena Unified,64881,1936822,Pasadena High,1403,39.0484675695,0.689621329844
106,William S. Hart Union High,65136,1933902,Hart (William S.) Senior High,1330,58.5616541353,0.493247068338
107,Santa Monica-Malibu Unified,64980,1938000,Santa Monica High,2082,56.0120076849,0.83513562224
108,San Francisco Unified,68478,3830353,Intl Studies Academy,141,22.0921985816,0.938828162129
109,Los Angeles Unified,64733,1931864,Grover Cleveland High,2081,57.450264296,0.695140327745
110,ABC Unified,64212,1931880,Whitney (Gretchen) High,543,97.2246777164,0.669346150659
111,San Francisco Unified,68478,3830387,Asawa (Ruth) San Francisco Sc,469,71.6439232409,0.886606782398
112,San Francisco County Office of Education,10389,3830395,San Francisco Co. Opportunity,17,7.0,0.929534630172
113,Montebello Unified,64808,1935998,Montebello High,2215,28.8645598194,0.737907992804
114,Centinela Valley Union High,64352,1933951,Hawthorne High,1285,20.5704280156,0.874346343312
115,San Francisco Unified,68478,3830403,Marshall (Thurgood) High,379,28.4696569921,0.868364791399
116,Antelope Valley Union High,64246,1995398,Highland High,2141,38.2615600187,0.419696176008
117,Antelope Valley Union High,64246,1995406,Littlerock High,972,26.1512345679,0.492362982929
118,Los Angeles Unified,64733,1931930,Avalon Continuation,13,38.0,0.810384159139
119,Los Angeles Unified,64733,1938885,University Senior High,1213,39.5663643858,0.816501215559
120,Torrance Unified,65060,1938083,"Shery (Kurt T.) High, Cont.",28,11.0,0.680197090568
121,Alhambra Unified,75713,1995430,"Independence High, Alter.",26,15.3461538462,0.663436301232
122,San Francisco County Office of Education,10389,3830445,Civic Center Sec.,25,0.0,0.925450855764
123,Inglewood Unified,64634,1936046,Morningside High,793,19.1563682219,0.838403294368
124,Big Valley Joint Unified,64089,1831601,Big Valley Jr. Sr. High,12,83.0,0.183333333333
125,Los Angeles Unified,64733,1931955,"Ellington (Duke) High, Cont.",26,7.53846153846,0.73945599022
126,Los Angeles Unified,64733,1995448,Francisco Bravo Medical Magne,1558,55.3581514763,0.870950978694
127,Compton Unified,73437,1931963,Compton High,1526,12.8532110092,0.898423817863
128,Pasadena Unified,64881,117440,CIS Academy,42,9.59523809524,0.689621329844
129,Duarte Unified,64469,1936079,Mt. Olive Alternative Educatio,15,0.0,0.69235280319
130,Los Angeles Unified,64733,1934033,Hollywood Senior High,1290,38.1085271318,0.869295923769
131,Los Angeles County Office of Education,10199,123604,Phoenix Academy Residential,23,12.9130434783,0.755491167399
132,Los Angeles Unified,64733,1931997,Odyssey Continuation,13,15.0,0.837803249499
133,Los Angeles Unified,64733,1995489,Los Angeles Unified Alternativ,437,9.11899313501,0.81433061866
134,Pasadena Unified,64881,1936103,John Muir High,701,20.8088445078,0.669747025528
135,Glendale Unified,64568,1995497,Verdugo Academy,34,49.6470588235,0.66717603912
136,Baldwin Park Unified,64287,1938166,Sierra Vista High,1472,33.171875,0.761875699318
137,Glendale Unified,64568,1934082,Herbert Hoover High,1339,48.784167289,0.657273715262
138,Montebello Unified,64808,1964808,Home/hospital and independent study,43,21.023255814,0.737907992804
139,Bellflower Unified,64303,1938190,Somerset Continuation High,69,7.50724637681,0.728351881293
140,Long Beach Unified,64725,1995539,Calif Acad Math and Science,497,92.2092555332,0.641695637546
141,Pomona Unified,64907,1995547,Pomona Alternative,12,8.0,0.694546617624
142,Los Angeles Unified,64733,1936160,Nathaniel Narbonne Senior Hig,2194,34.1508659982,0.690962980886
143,Big Oak Flat-Groveland Unified,75184,5530076,Tioga High,39,50.4615384615,0.588235294118
144,Long Beach Unified,64725,1995570,Educational Partnership High,202,9.82673267327,0.727155394941
145,Covina-Valley Unified,64436,1932086,Covina High,883,42.6930917327,0.70250079139
146,Palos Verdes Peninsula Unified,64865,1995588,Palos Verdes Penins. High,1804,77.2766075388,0.558045395403
147,ABC Unified,64212,1930056,Cerritos High,1528,68.3527486911,0.669346150659
148,ABC Unified,64212,1995596,"ABC Secondary, Altern.",27,15.5185185185,0.669346150659
149,Los Angeles Unified,64733,1934157,Huntington Park Senior High,2390,21.9949790795,0.876167739257
150,Los Angeles Unified,64733,1932128,Crenshaw Senior High,812,11.7918719212,0.878698742865
151,Los Angeles Unified,64733,119651,Sun Valley High,558,16.5394265233,0.750625360785
152,Rowland Unified,73452,1936228,Nogales High,1539,32.4145549058,0.765904748425
153,Glendale Unified,64568,1932144,Crescenta Valley High,2126,74.838664158,0.601872599232
154,Rowland Unified,73452,1930106,"Santana High, Cont.",52,5.53846153846,0.58049122807
155,Los Angeles Unified,64733,1938307,South Gate Senior High,2346,25.7455242967,0.837803249499
156,Whittier Union High,65128,1995653,"Sierra Vista High, Alter.",150,22.0866666667,0.593833692599
157,Los Angeles Unified,64733,109447,Santee Education Complex,1215,14.8534979424,0.922107850668
158,Alhambra Unified,75713,1930122,Century High,28,14.0,0.663436301232
159,Los Angeles Unified,64733,119693,UCLA Community,222,25.1981981982,0.823566084788
160,Los Angeles Unified,64733,109454,South East High,1985,25.1355163728,0.837803249499
161,San Francisco Unified,68478,3834769,O'Connell (John) Alternative,285,23.3473684211,0.927743252017
162,Torrance Unified,65060,1936277,North High,1590,49.0874213836,0.695008146941
163,Los Angeles Unified,64733,109462,Maywood Academy High,972,23.1368312757,0.835497207514
164,Inglewood Unified,64634,1934231,Inglewood High,957,14.8996865204,0.841366589141
165,Los Angeles Unified,64733,6069157,Berenece Carlson Home Hospita,47,28.4042553191,0.827828655835
166,Los Angeles Unified,64733,119719,School of Engineering and Tech,249,14.4899598394,0.870950978694
167,Culver City Unified,64444,1932201,Culver City High,1619,52.8171710933,0.783232413541
168,Montebello Unified,64808,1930155,Schurr High,2256,35.6320921986,0.737907992804
169,Compton Unified,73437,1995695,"Chavez (Cesar) High, Cont.",88,4.375,0.843711153803
170,Alhambra Unified,75713,1930163,Alhambra High,1875,56.8922666667,0.663436301232
171,Torrance Unified,65060,1938356,South High,1532,63.7787206266,0.613316134154
172,Covina-Valley Unified,64436,1938372,South Hills High,1342,45.0268256334,0.70250079139
173,Los Angeles Unified,64733,109512,Cal Burke High,71,7.05633802817,0.804532577904
174,Los Angeles Unified,64733,101329,William J. Johnston Community,79,3.63291139241,0.721876046901
175,Los Angeles County Office of Education,10199,1995257,Alternative Opportunity Progra,85,9.77647058824,0.755491167399
176,Los Angeles Unified,64733,117721,Academic Leadership Community,246,22.7113821138,0.81433061866
177,Los Angeles Unified,64733,1936350,North Hollywood Senior High,2089,41.8678793681,0.806232062321
178,Lynwood Unified,64774,109538,Marco Antonio Firebaugh High,1360,25.9661764706,0.818173573955
179,Redondo Beach Unified,75341,1995752,Redondo Shores High (Continua,14,43.0,0.71605516872
180,Los Angeles Unified,64733,117739,CIVITAS School of Leadership,204,18.7598039216,0.868001251173
181,Summerville Union High,72413,5536750,Summerville High,213,58.1737089202,0.501577287066
182,Los Angeles Unified,64733,117747,Los Angeles High School of th,274,29.6934306569,0.823566084788
183,Los Angeles Unified,64733,117754,Los Angeles Teachers Preparato,150,14.0066666667,0.868001251173
184,Centinela Valley Union High,64352,1930239,Lloyde (R. K.) High,162,5.23456790123,0.75959933222
185,Baldwin Park Unified,64287,1936384,North Park Continuation High,64,2.9375,0.761875699318
186,Los Angeles Unified,64733,117762,School for the Visual Arts and,288,25.4131944444,0.823566084788
187,Acton-Agua Dulce Unified,75309,1995786,Vasquez High,292,30.1335616438,0.512411847673
188,Los Angeles County Office of Education,10199,121871,Los Padrinos Juvenile,36,3.5,0.755491167399
189,Los Angeles Unified,64733,1995794,Youth Opportunities Unlim,135,7.9037037037,0.908750514846
190,South Pasadena Unified,65029,1938455,South Pasadena Senior High,1066,74.3564727955,0.803680981595
191,William S. Hart Union High,65136,1995802,Valencia High,1997,64.8117175764,0.553500458575
192,Los Angeles Unified,64733,1932318,Eagle Tree Continuation,12,8.0,0.776502242152
193,Covina-Valley Unified,64436,1936418,Northview High,1018,43.0756385069,0.712248743719
194,Los Angeles Unified,64733,1934371,Thomas Jefferson Senior High,885,11.3774011299,0.922107850668
195,Compton Unified,73437,1932326,Dominguez High,1574,15.3227445997,0.897839225101
196,Los Angeles County Office of Education,10199,121897,Central Juvenile Hall,74,3.90540540541,0.755491167399
197,Los Angeles Unified,64733,1932334,Addams (Jane) Cont. High,53,9.84905660377,0.607977991747
198,Arcadia Unified,64261,1930288,Arcadia High,2447,74.8892521455,0.641412361689
199,Calaveras Unified,61564,531509,Calaveras High,672,45.0178571429,0.366153846154
200,Los Angeles Unified,64733,1932342,Evergreen Continuation,26,0.0,0.824708926261
201,Los Angeles Unified,64733,1930296,Newmark (Harris) Continuation,25,0.0,0.868001251173
202,Las Virgenes Unified,64683,1930080,Agoura High,1408,65.9105113636,0.609734381956
203,San Francisco Unified,68478,119875,S.F. International High,220,8.65909090909,0.927743252017
204,Charter Oak Unified,64378,1930312,"Arrow High, Cont.",19,11.0,0.525503015274
205,El Monte Union High,64519,1930320,Arroyo High,1694,50.7207792208,0.779574617683
206,West Covina Unified,65094,1938513,Coronado High (Continuation),68,4.54411764706,0.722227984649
207,Norwalk-La Mirada Unified,64840,1936467,Norwalk High,1572,32.7665394402,0.66824754731
208,William S. Hart Union High,65136,1934421,"Bowman (Jereann) High, Cont.",96,9.53125,0.45738545338
209,Lompoc Unified,69229,4233060,Lompoc High,909,25.804180418,0.409012131716
210,Norwalk-La Mirada Unified,64840,1936475,"El Camino High, Cont.",118,8.17796610169,0.678964637258
211,Los Angeles County Office of Education,10199,1995869,Intern. Polytechnic High,457,60.6039387309,0.742633439973
