,District,District Code,School Code,School Name,number,score,vote
0,Hacienda la Puente Unified,73445,1933316,"Puente Hills High, Alter.",27,11.1111111111,0.770707392088
1,Pomona Unified,64907,1933324,Garey Senior High,1166,37.346483705,0.694546617624
2,Los Angeles Unified,64733,1937424,"School of Communications, New",327,12.0581039755,0.870950978694
3,Los Angeles Unified,64733,6058002,Robert Fulton College Prepara,610,30.8213114754,0.808184727938
4,Burbank Unified,64337,1933332,"Monterey High, Cont.",59,14.0,0.808108640031
5,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,148,49.8513513514,0.76065511572
6,Whittier Union High,65128,1931302,California High,1877,47.7820990943,0.678964637258
7,William S. Hart Union High,65136,102459,Golden Valley High,777,45.3127413127,0.493247068338
8,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",21,0.0,0.83513562224
9,Lynwood Unified,64774,1935428,Vista High (Continuation),44,2.0,0.818173573955
10,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,1700,43.9282352941,0.884973040556
11,Los Angeles Unified,64733,1931336,Cheviot Hills Continuation,52,13.25,0.816042024447
12,El Monte Union High,64519,1937481,Rosemead High,630,43.7984126984,0.809498750164
13,William S. Hart Union High,65136,102475,West Ranch High,500,52.056,0.56037496028
14,Los Angeles Unified,64733,110668,Frida Kahlo High,102,22.4411764706,0.922107850668
15,West Covina Unified,65094,1939537,West Covina High,1404,49.6666666667,0.722227984649
16,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,106,79.0188679245,0.750386750387
17,Los Angeles Unified,64733,1931377,Earhart (Amelia) Continuation,57,12.3333333333,0.806232062321
18,Los Angeles Unified,64733,1931385,Einstein (Albert) Cont.,59,13.6949152542,0.706802053886
19,Los Angeles Unified,64733,1931393,Highland Park Continuation,54,14.9814814815,0.820382855174
20,Torrance Unified,65060,1939602,West High,267,65.2808988764,0.643809331448
21,Los Angeles Unified,64733,1931419,Leonis (Miguel) Continuation,38,15.7894736842,0.658119126159
22,Rowland Unified,73452,1937564,Rowland (John A.) High,633,54.9478672986,0.58049122807
23,Los Angeles Unified,64733,1935519,Manual Arts Senior High,1647,20.0,0.87685560054
24,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",70,11.0,0.66717603912
25,Los Angeles Unified,64733,114850,West Adams Preparatory High,1337,24.1264023934,0.904467987103
26,Los Angeles Unified,64733,1931435,Lewis (Robert H.) Continuation,37,3.08108108108,0.750625360785
27,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,36,63.0,0.619047619048
28,Los Angeles Unified,64733,1931450,Jack London Continuation,70,12.8285714286,0.743107540624
29,Bonita Unified,64329,1937598,Chaparral High (Continuation),39,5.0,0.532519190509
30,Los Angeles Unified,64733,1931468,Metropolitan Continuation,100,21.31,0.846559206448
31,San Gabriel Unified,75291,1995810,Gabrielino High,413,42.7917675545,0.733281579239
32,Los Angeles Unified,64733,1935568,John Marshall Senior High,1231,39.1998375305,0.690659481653
33,Los Angeles Unified,64733,1931476,Canoga Park Senior High,1021,36.0048971596,0.744038635678
34,Los Angeles Unified,64733,1937622,San Fernando Senior High,1779,33.9612141653,0.823900205693
35,Glendale Unified,64568,1933530,Glendale High,647,47.7882534776,0.649555830428
36,Los Angeles Unified,64733,1931484,Mission Continuation,57,5.0350877193,0.823900205693
37,Glendora Unified,64576,1939677,Whitcomb Continuation High,22,0.0,0.525503015274
38,Los Angeles Unified,64733,112862,Student Empowerment Academy,227,33.9030837004,0.922107850668
39,Long Beach Unified,64725,125153,Beach High-ILP,161,5.44099378882,0.575231756596
40,Tulelake Basin Joint Unified,73593,4737250,Tulelake High,70,28.5571428571,0.294797687861
41,William S. Hart Union High,65136,1931492,Canyon High,696,41.6609195402,0.579585410653
42,Los Angeles Unified,64733,112870,Los Angeles School of Global,249,30.1285140562,0.81433061866
43,Los Angeles Unified,64733,1931500,Owensmouth Continuation,66,13.9696969697,0.744038635678
44,Whittier Union High,65128,1939701,Whittier High,1535,48.0983713355,0.78215661104
45,Bellflower Unified,64303,1935618,Mayfair High,714,52.3459383754,0.728351881293
46,Los Angeles Unified,64733,1931526,Carson Senior High,917,42.2006543075,0.776502242152
47,Los Angeles Unified,64733,121095,Ambassador School of Global,277,29.880866426,0.823566084788
48,San Francisco Unified,68478,102103,Jordan (June) School for Equi,76,8.01315789474,0.857183118439
49,Los Angeles Unified,64733,1931534,Rogers (Will) Continuation,83,7.3734939759,0.765187419216
50,San Francisco Unified,68478,3830031,Wells (Ida B.) High,42,7.2380952381,0.910737683438
51,Glendora Unified,64576,1933597,Glendora High,602,61.523255814,0.519502353732
52,Alhambra Unified,75713,1937697,San Gabriel High,626,47.2188498403,0.733281579239
53,Los Angeles Unified,64733,1931559,Stoney Point Continuation,49,8.5306122449,0.545961333175
54,Upper Lake Union High,64071,1737006,Upper Lake High,53,28.5094339623,0.459459459459
55,Compton Unified,73437,1931567,Centennial High,530,16.6867924528,0.843711153803
56,San Francisco Unified,68478,3830064,"Downtown High, Cont.",40,0.0,0.938828162129
57,El Monte Union High,64519,1932680,Mountain View High,1129,32.8697962799,0.779574617683
58,Woodland Joint Unified,72710,5738810,"Cache Creek High, Cont.",56,5.0,0.598051157125
59,Los Angeles Unified,64733,117051,Edward R. Roybal Learning Cen,1006,27.662027833,0.868001251173
60,Bonita Unified,64329,1937739,San Dimas High,431,55.3642691415,0.532519190509
61,Los Angeles Unified,64733,117069,Helen Bernstein High,658,22.0455927052,0.869295923769
62,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,1066,37.7636022514,0.66824754731
63,Walnut Valley Unified,73460,1937747,Ron Hockwalt Academies (Conti,14,0.0,0.622432392493
64,Los Angeles Unified,64733,117077,Academic Performance Excellenc,199,24.8391959799,0.869295923769
65,Covina-Valley Unified,64436,1931617,"Fairvalley High, Cont.",100,6.28,0.712248743719
66,Downey Unified,64451,1931625,Columbus Continuation,125,6.024,0.687788741231
67,Los Angeles Unified,64733,102764,Alonzo Community Day,189,15.1851851852,0.869295923769
68,Los Angeles Unified,64733,1939859,Woodrow Wilson Senior High,1290,32.1124031008,0.750386750387
69,ABC Unified,64212,1931641,"Tracy High, Cont.",175,7.0,0.669346150659
70,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,622,53.3199356913,0.629021981523
71,Long Beach Unified,64725,1935758,Millikan High,1683,41.4539512775,0.575231756596
72,Charter Oak Unified,64378,1931666,Charter Oak High,802,50.0635910224,0.544794738036
73,Los Angeles Unified,64733,6019475,Thirty-Second St. Perf. Arts,171,69.7426900585,0.904467987103
74,Pasadena Unified,64881,1931674,Marshall Fundamental,485,57.4041237113,0.640983033059
75,Los Angeles Unified,64733,1930650,Phineas Banning Senior High,2045,38.928606357,0.810384159139
76,Los Angeles Unified,64733,1931682,Zane Grey Continuation,75,8.46666666667,0.695140327745
77,Long Beach Unified,64725,1939875,Wilson High,1413,44.0587402689,0.742538438348
78,Los Angeles Unified,64733,1931690,Independence Continuation,76,13.2105263158,0.768974432634
79,Los Angeles Unified,64733,1937838,San Pedro Senior High,1462,40.0143638851,0.721876046901
80,San Francisco Unified,68478,3830197,Independence High,11,22.0,0.825506052539
81,Los Angeles Unified,64733,1931708,Chatsworth Senior High,1046,39.9426386233,0.545961333175
82,San Francisco Unified,68478,3830205,Wallenberg (Raoul) Traditiona,77,40.4675324675,0.885810926529
83,Manhattan Beach Unified,75333,1935808,Mira Costa High,236,77.8644067797,0.682744775044
84,Los Angeles Unified,64733,1931716,Valley Alternative Magnet,56,55.0714285714,0.768974432634
85,Lynwood Unified,64774,1935436,Lynwood High,1617,31.632034632,0.818173573955
86,Hacienda la Puente Unified,73445,1939925,Workman (William) High,754,37.425729443,0.765904748425
87,Los Angeles Unified,64733,102137,Aggeler Community Day,36,13.7222222222,0.545961333175
88,Colusa Unified,61598,631259,Colusa High,150,38.02,0.338235294118
89,William S. Hart Union High,65136,1931740,Saugus High,428,50.8971962617,0.45738545338
90,Los Angeles County Office of Education,10199,1995232,Special Education,88,14.3409090909,0.755491167399
91,Los Angeles Unified,64733,1933795,Ulysses S. Grant Senior High,1076,38.7862453532,0.743107540624
92,Los Angeles Unified,64733,1939941,John F. Kennedy High,1386,45.0519480519,0.607977991747
93,San Francisco Unified,68478,3830254,Burton (Phillip and Sala) Aca,126,34.0714285714,0.852908045296
94,Whittier Union High,65128,1937903,Santa Fe High,1763,51.0737379467,0.783517010062
95,Norwalk-La Mirada Unified,64840,1936467,Norwalk High,1334,43.2488755622,0.66824754731
96,Los Angeles Unified,64733,106997,Orthopaedic Hospital,598,60.5986622074,0.904467987103
97,Los Angeles Unified,64733,1935865,James Monroe High,1374,34.7328966521,0.706802053886
98,Los Angeles Unified,64733,107003,Northridge Academy High,508,48.8858267717,0.746801978509
99,Los Angeles Unified,64733,102913,Middle College High,181,67.7127071823,0.73945599022
100,Los Angeles Unified,64733,107011,International Studies Learnin,289,46.2179930796,0.837803249499
101,Las Virgenes Unified,64683,1931781,Calabasas High,78,55.0,0.64766536965
102,Los Angeles Unified,64733,102921,Harbor Teacher Preparation Ac,175,91.1142857143,0.810384159139
103,San Francisco Unified,68478,3830288,Balboa High,216,41.412037037,0.857183118439
104,Monrovia Unified,64790,1935899,Canyon Oaks High,58,22.0,0.687778528022
105,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,1130,48.6566371681,0.816042024447
106,Norwalk-La Mirada Unified,64840,1936475,"El Camino High, Cont.",162,6.0,0.678964637258
107,Monrovia Unified,64790,1935923,Monrovia High,699,48.4549356223,0.687778528022
108,Pasadena Unified,64881,1936822,Pasadena High,792,47.970959596,0.689621329844
109,Los Angeles County Office of Education,10199,121954,"Kilpatrick, Vernon Camp",58,3.86206896552,0.755491167399
110,William S. Hart Union High,65136,1933902,Hart (William S.) Senior High,573,53.0296684119,0.493247068338
111,Los Angeles Unified,64733,1931856,Whitman Continuation,14,14.0,0.816051634629
112,San Francisco Unified,68478,3830353,Intl Studies Academy,63,22.0634920635,0.938828162129
113,Los Angeles Unified,64733,1931864,Grover Cleveland High,1496,43.9993315508,0.695140327745
114,ABC Unified,64212,1931880,Whitney (Gretchen) High,29,96.3793103448,0.669346150659
115,San Francisco Unified,68478,3830387,Asawa (Ruth) San Francisco Sc,55,74.5272727273,0.886606782398
116,Montebello Unified,64808,1935998,Montebello High,2110,34.8767772512,0.737907992804
117,Centinela Valley Union High,64352,1933951,Hawthorne High,1076,35.8150557621,0.874346343312
118,San Francisco Unified,68478,3830403,Marshall (Thurgood) High,82,15.8170731707,0.868364791399
119,Antelope Valley Union High,64246,1995398,Highland High,1166,46.6749571184,0.419696176008
120,Antelope Valley Union High,64246,1995406,Littlerock High,727,35.4360385144,0.492362982929
121,Los Angeles Unified,64733,1931930,Avalon Continuation,46,15.2608695652,0.810384159139
122,Los Angeles Unified,64733,1938885,University Senior High,751,45.7616511318,0.816501215559
123,Torrance Unified,65060,1938083,"Shery (Kurt T.) High, Cont.",38,13.0,0.680197090568
124,Alhambra Unified,75713,1995430,"Independence High, Alter.",37,7.78378378378,0.663436301232
125,San Francisco County Office of Education,10389,3830445,Civic Center Sec.,11,0.0,0.925450855764
126,Inglewood Unified,64634,1936046,Morningside High,546,30.1062271062,0.838403294368
127,Los Angeles Unified,64733,1931955,"Ellington (Duke) High, Cont.",23,8.47826086957,0.73945599022
128,Los Angeles Unified,64733,1995448,Francisco Bravo Medical Magne,1041,68.9452449568,0.870950978694
129,Compton Unified,73437,1931963,Compton High,1298,21.1171032357,0.898423817863
130,Pasadena Unified,64881,117440,CIS Academy,67,11.9402985075,0.689621329844
131,Los Angeles Unified,64733,1931971,Hope (John) Continuation,48,6.58333333333,0.902615006047
132,Duarte Unified,64469,1936079,Mt. Olive Alternative Educatio,48,6.29166666667,0.69235280319
133,Los Angeles Unified,64733,1934033,Hollywood Senior High,848,54.6320754717,0.869295923769
134,Los Angeles County Office of Education,10199,123604,Phoenix Academy Residential,45,9.2,0.755491167399
135,Los Angeles Unified,64733,1931989,Monterey Continuation,37,32.6486486486,0.884973040556
136,Los Angeles County Office of Education,10199,123612,Pacific Lodge Residential,11,0.0,0.755491167399
137,Los Angeles Unified,64733,1931997,Odyssey Continuation,77,9.12987012987,0.837803249499
138,Los Angeles Unified,64733,1995489,Los Angeles Unified Alternativ,840,9.61904761905,0.81433061866
139,Pasadena Unified,64881,1936103,John Muir High,476,27.0462184874,0.669747025528
140,Baldwin Park Unified,64287,1938166,Sierra Vista High,1301,45.670253651,0.761875699318
141,Glendale Unified,64568,1934082,Herbert Hoover High,319,49.8996865204,0.657273715262
142,Montebello Unified,64808,1964808,Home/hospital and independent study,85,15.4705882353,0.737907992804
143,Bellflower Unified,64303,1938190,Somerset Continuation High,94,5.0,0.728351881293
144,Long Beach Unified,64725,1995539,Calif Acad Math and Science,201,97.6119402985,0.641695637546
145,Pomona Unified,64907,1995547,Pomona Alternative,23,13.0,0.694546617624
146,Los Angeles Unified,64733,1936160,Nathaniel Narbonne Senior Hig,1529,38.6867233486,0.690962980886
147,Long Beach Unified,64725,1995570,Educational Partnership High,245,5.75102040816,0.727155394941
148,Covina-Valley Unified,64436,1932086,Covina High,720,52.3166666667,0.70250079139
149,Palos Verdes Peninsula Unified,64865,1995588,Palos Verdes Penins. High,120,69.2666666667,0.558045395403
150,ABC Unified,64212,1930056,Cerritos High,262,66.2519083969,0.669346150659
151,ABC Unified,64212,1995596,"ABC Secondary, Altern.",18,6.0,0.669346150659
152,Los Angeles Unified,64733,1934157,Huntington Park Senior High,2543,30.5930003932,0.876167739257
153,Los Angeles Unified,64733,1930064,Aggeler (William Tell) Op,35,8.6,0.545961333175
154,Cutler-Orosi Joint Unified,71860,5430103,Yettem Continuation High,22,0.0,0.355570380254
155,Los Angeles Unified,64733,1932128,Crenshaw Senior High,297,19.2861952862,0.878698742865
156,Los Angeles Unified,64733,119651,Sun Valley High,613,21.6231647635,0.750625360785
157,Rowland Unified,73452,1936228,Nogales High,1286,39.6267496112,0.765904748425
158,Glendale Unified,64568,1932144,Crescenta Valley High,258,72.8527131783,0.601872599232
159,Rowland Unified,73452,1930106,"Santana High, Cont.",100,12.18,0.58049122807
160,Los Angeles Unified,64733,1938307,South Gate Senior High,2353,34.7050573736,0.837803249499
161,Whittier Union High,65128,1995653,"Sierra Vista High, Alter.",216,16.8842592593,0.593833692599
162,Los Angeles Unified,64733,109447,Santee Education Complex,1302,22.5660522273,0.922107850668
163,Alhambra Unified,75713,1930122,Century High,60,15.0,0.663436301232
164,Los Angeles Unified,64733,119693,UCLA Community,192,30.0625,0.823566084788
165,Los Angeles Unified,64733,109454,South East High,1943,36.8378795677,0.837803249499
166,San Francisco Unified,68478,3834769,O'Connell (John) Alternative,172,31.5755813953,0.927743252017
167,Torrance Unified,65060,1936277,North High,540,56.1425925926,0.695008146941
168,Los Angeles Unified,64733,109462,Maywood Academy High,980,34.1897959184,0.835497207514
169,Inglewood Unified,64634,1934231,Inglewood High,629,28.3147853736,0.841366589141
170,Los Angeles Unified,64733,6069157,Berenece Carlson Home Hospita,46,26.7826086957,0.827828655835
171,Los Angeles Unified,64733,119719,School of Engineering and Tech,243,24.7407407407,0.870950978694
172,Culver City Unified,64444,1932201,Culver City High,623,54.6019261637,0.783232413541
173,Montebello Unified,64808,1930155,Schurr High,1934,43.2037228542,0.737907992804
174,Los Angeles Unified,64733,119727,Ramon C. Cortines School of V,820,45.5756097561,0.854956965253
175,Alhambra Unified,75713,1930163,Alhambra High,932,47.3165236052,0.663436301232
176,Torrance Unified,65060,1938356,South High,189,63.8148148148,0.613316134154
177,Las Virgenes Unified,64683,1930080,Agoura High,131,74.6335877863,0.609734381956
178,Covina-Valley Unified,64436,1938372,South Hills High,840,54.669047619,0.70250079139
179,Los Angeles Unified,64733,109512,Cal Burke High,122,12.6229508197,0.804532577904
180,Hacienda la Puente Unified,73445,1938935,"Valley Alter. High, Cont.",55,7.0,0.629021981523
181,Los Angeles Unified,64733,101329,William J. Johnston Community,90,8.66666666667,0.721876046901
182,Los Angeles County Office of Education,10199,1995257,Alternative Opportunity Progra,116,12.8620689655,0.755491167399
