,District,District Code,School Code,School Name,number,score,vote
0,Hacienda la Puente Unified,73445,1933316,"Puente Hills High, Alter.",12,9.0,0.770707392088
1,Pomona Unified,64907,1933324,Garey Senior High,1079,37.0417052827,0.694546617624
2,Los Angeles Unified,64733,1937424,"School of Communications, New",327,12.0581039755,0.870950978694
3,Los Angeles Unified,64733,6058002,Robert Fulton College Prepara,610,30.8213114754,0.808184727938
4,Burbank Unified,64337,1933332,"Monterey High, Cont.",37,11.0,0.808108640031
5,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,111,48.6216216216,0.76065511572
6,Whittier Union High,65128,1931302,California High,1354,43.094534712,0.678964637258
7,William S. Hart Union High,65136,102459,Golden Valley High,481,38.1683991684,0.493247068338
8,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",11,0.0,0.83513562224
9,Lynwood Unified,64774,1935428,Vista High (Continuation),39,3.0,0.818173573955
10,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,1610,44.0049689441,0.884973040556
11,Los Angeles Unified,64733,1931336,Cheviot Hills Continuation,28,10.9285714286,0.816042024447
12,El Monte Union High,64519,1937481,Rosemead High,551,41.7967332123,0.809498750164
13,William S. Hart Union High,65136,102475,West Ranch High,160,40.15625,0.56037496028
14,Los Angeles Unified,64733,110668,Frida Kahlo High,102,22.4411764706,0.922107850668
15,West Covina Unified,65094,1939537,West Covina High,945,46.6116402116,0.722227984649
16,Los Angeles Unified,64733,1931377,Earhart (Amelia) Continuation,54,12.9444444444,0.806232062321
17,Los Angeles Unified,64733,1931385,Einstein (Albert) Cont.,57,12.2280701754,0.706802053886
18,Los Angeles Unified,64733,1931393,Highland Park Continuation,45,13.4666666667,0.820382855174
19,Torrance Unified,65060,1939602,West High,86,53.2441860465,0.643809331448
20,Los Angeles Unified,64733,1931419,Leonis (Miguel) Continuation,28,14.7142857143,0.658119126159
21,Rowland Unified,73452,1937564,Rowland (John A.) High,446,50.6995515695,0.58049122807
22,Los Angeles Unified,64733,1935519,Manual Arts Senior High,1587,20.6691871456,0.87685560054
23,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",55,4.0,0.66717603912
24,Los Angeles Unified,64733,114850,West Adams Preparatory High,1337,24.1264023934,0.904467987103
25,Los Angeles Unified,64733,1931435,Lewis (Robert H.) Continuation,35,3.25714285714,0.750625360785
26,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,22,57.0,0.619047619048
27,Los Angeles Unified,64733,1931450,Jack London Continuation,65,12.3538461538,0.743107540624
28,Bonita Unified,64329,1937598,Chaparral High (Continuation),30,3.0,0.532519190509
29,Los Angeles Unified,64733,1931468,Metropolitan Continuation,94,20.4255319149,0.846559206448
30,San Gabriel Unified,75291,1995810,Gabrielino High,256,33.90625,0.733281579239
31,Los Angeles Unified,64733,1935568,John Marshall Senior High,1054,38.2438330171,0.690659481653
32,Los Angeles Unified,64733,1931476,Canoga Park Senior High,932,35.071888412,0.744038635678
33,Los Angeles Unified,64733,1937622,San Fernando Senior High,1779,33.9612141653,0.823900205693
34,Glendale Unified,64568,1933530,Glendale High,509,43.1886051081,0.649555830428
35,Los Angeles Unified,64733,1931484,Mission Continuation,56,5.71428571429,0.823900205693
36,Los Angeles Unified,64733,112862,Student Empowerment Academy,218,33.0642201835,0.922107850668
37,Long Beach Unified,64725,125153,Beach High-ILP,137,5.50364963504,0.575231756596
38,Tulelake Basin Joint Unified,73593,4737250,Tulelake High,67,30.0746268657,0.294797687861
39,William S. Hart Union High,65136,1931492,Canyon High,313,30.8434504792,0.579585410653
40,Los Angeles Unified,64733,112870,Los Angeles School of Global,235,30.2680851064,0.81433061866
41,Los Angeles Unified,64733,1931500,Owensmouth Continuation,61,13.2459016393,0.744038635678
42,Whittier Union High,65128,1939701,Whittier High,1179,44.7133163698,0.78215661104
43,Bellflower Unified,64303,1935618,Mayfair High,469,49.0767590618,0.728351881293
44,Los Angeles Unified,64733,1931526,Carson Senior High,711,43.6624472574,0.776502242152
45,Los Angeles Unified,64733,121095,Ambassador School of Global,277,29.880866426,0.823566084788
46,San Francisco Unified,68478,102103,Jordan (June) School for Equi,68,8.91176470588,0.857183118439
47,Los Angeles Unified,64733,1931534,Rogers (Will) Continuation,75,6.54666666667,0.765187419216
48,San Francisco Unified,68478,3830031,Wells (Ida B.) High,36,8.0,0.910737683438
49,Glendora Unified,64576,1933597,Glendora High,153,46.6274509804,0.519502353732
50,Alhambra Unified,75713,1937697,San Gabriel High,545,46.5706422018,0.733281579239
51,Los Angeles Unified,64733,1931559,Stoney Point Continuation,42,7.2380952381,0.545961333175
52,Upper Lake Union High,64071,1737006,Upper Lake High,42,28.7619047619,0.459459459459
53,Compton Unified,73437,1931567,Centennial High,488,16.7008196721,0.843711153803
54,San Francisco Unified,68478,3830064,"Downtown High, Cont.",32,0.0,0.938828162129
55,El Monte Union High,64519,1932680,Mountain View High,1075,32.5348837209,0.779574617683
56,Woodland Joint Unified,72710,5738810,"Cache Creek High, Cont.",51,2.0,0.598051157125
57,Los Angeles Unified,64733,117051,Edward R. Roybal Learning Cen,1006,27.662027833,0.868001251173
58,Bonita Unified,64329,1937739,San Dimas High,155,42.4516129032,0.532519190509
59,Los Angeles Unified,64733,117069,Helen Bernstein High,598,21.3143812709,0.869295923769
60,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,919,37.3949945593,0.66824754731
61,Los Angeles Unified,64733,117077,Academic Performance Excellenc,185,25.3351351351,0.869295923769
62,Covina-Valley Unified,64436,1931617,"Fairvalley High, Cont.",78,3.84615384615,0.712248743719
63,Downey Unified,64451,1931625,Columbus Continuation,76,3.0,0.687788741231
64,Los Angeles Unified,64733,102764,Alonzo Community Day,172,16.4244186047,0.869295923769
65,Los Angeles Unified,64733,1939859,Woodrow Wilson Senior High,1181,31.1134631668,0.750386750387
66,ABC Unified,64212,1931641,"Tracy High, Cont.",142,7.0,0.669346150659
67,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,425,49.6352941176,0.629021981523
68,Long Beach Unified,64725,1935758,Millikan High,1289,36.7719162141,0.575231756596
69,Charter Oak Unified,64378,1931666,Charter Oak High,339,42.4867256637,0.544794738036
70,Los Angeles Unified,64733,6019475,Thirty-Second St. Perf. Arts,149,71.067114094,0.904467987103
71,Pasadena Unified,64881,1931674,Marshall Fundamental,409,54.4938875306,0.640983033059
72,Los Angeles Unified,64733,1930650,Phineas Banning Senior High,1812,38.793598234,0.810384159139
73,Los Angeles Unified,64733,1931682,Zane Grey Continuation,67,9.20895522388,0.695140327745
74,Long Beach Unified,64725,1939875,Wilson High,1087,39.9457221711,0.742538438348
75,Los Angeles Unified,64733,1931690,Independence Continuation,54,13.0,0.768974432634
76,Los Angeles Unified,64733,1937838,San Pedro Senior High,1126,38.8570159858,0.721876046901
