,District,District Code,School Code,School Name,number,score,vote
0,Baldwin Park Unified,64287,1936384,North Park Continuation High,20,0.0,0.761875699318
1,Los Angeles Unified,64733,102913,Middle College High,11,64.0,0.73945599022
2,Los Angeles Unified,64733,107011,International Studies Learnin,46,51.7608695652,0.837803249499
3,Las Virgenes Unified,64683,1931781,Calabasas High,64,56.3125,0.64766536965
4,Acton-Agua Dulce Unified,75309,1995786,Vasquez High,36,30.7777777778,0.512411847673
5,Los Angeles Unified,64733,124503,Green Design So Region HS#2C,14,29.0,0.924713206895
6,Pomona Unified,64907,1933324,Garey Senior High,86,40.6162790698,0.694546617624
7,Glendale Unified,64568,1934082,Herbert Hoover High,85,67.0705882353,0.657273715262
8,San Francisco Unified,68478,3830288,Balboa High,60,42.65,0.857183118439
9,Los Angeles Unified,64733,1932888,Downtown Business High,13,62.0,0.854956965253
10,Los Angeles Unified,64733,1995794,Youth Opportunities Unlim,41,9.73170731707,0.908750514846
11,Burbank Unified,64337,1933332,"Monterey High, Cont.",22,18.0,0.808108640031
12,Bellflower Unified,64303,1930775,Bellflower High,194,52.3195876289,0.728351881293
13,Los Angeles Unified,64733,1938968,Van Nuys Senior High,74,55.5,0.765187419216
14,William S. Hart Union High,65136,1995802,Valencia High,327,69.495412844,0.553500458575
15,Monrovia Unified,64790,1935899,Canyon Oaks High,14,29.0,0.687778528022
16,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,251,51.2390438247,0.816042024447
17,William S. Hart Union High,65136,1996321,Academy of the Canyons,34,88.3823529412,0.553500458575
18,Covina-Valley Unified,64436,1936418,Northview High,236,55.8220338983,0.712248743719
19,Los Angeles Unified,64733,1934371,Thomas Jefferson Senior High,62,13.1612903226,0.922107850668
20,Whittier Union High,65128,1931302,California High,497,63.2494969819,0.678964637258
21,Los Angeles Unified,64733,120360,Daniel Pearl Journalism & Comm,28,75.3571428571,0.768974432634
22,Los Angeles Unified,64733,124461,Social Justice: Global Issues,32,23.0,0.922107850668
23,Arcadia Unified,64261,1930288,Arcadia High,207,67.7391304348,0.641412361689
24,Palos Verdes Peninsula Unified,64865,1996552,Palos Verdes High,101,69.3861386139,0.558045395403
25,Long Beach Unified,64725,1936947,Polytechnic High,256,59.8984375,0.836324705586
26,Calaveras Unified,61564,531509,Calaveras High,25,84.2,0.366153846154
27,Torrance Unified,65060,1938356,South High,132,70.4393939394,0.613316134154
28,William S. Hart Union High,65136,102459,Golden Valley High,296,56.7398648649,0.493247068338
29,Walnut Valley Unified,73460,1932862,Diamond Bar High,301,56.3621262458,0.57246031746
30,Los Angeles Unified,64733,124479,Social Justice: Fine and Perf,37,21.8378378378,0.922107850668
31,West Covina Unified,65094,122432,Edgewood High,104,70.2115384615,0.718396082032
32,Los Angeles Unified,64733,1932128,Crenshaw Senior High,11,0.0,0.878698742865
33,San Francisco Unified,68478,119875,S.F. International High,12,0.0,0.927743252017
34,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,90,49.1111111111,0.884973040556
35,Charter Oak Unified,64378,1930312,"Arrow High, Cont.",12,17.0,0.525503015274
36,El Monte Union High,64519,1937481,Rosemead High,79,59.5696202532,0.809498750164
37,William S. Hart Union High,65136,102475,West Ranch High,340,57.3088235294,0.56037496028
38,Lynwood Unified,64774,1935436,Lynwood High,195,29.7794871795,0.818173573955
39,Centinela Valley Union High,64352,1934926,Lawndale High,112,52.1875,0.75959933222
40,Los Angeles Unified,64733,124495,Comm & Tech-SRH#2B,21,38.0,0.924713206895
41,El Monte Union High,64519,1930320,Arroyo High,178,62.2752808989,0.779574617683
42,West Covina Unified,65094,1938513,Coronado High (Continuation),21,24.0,0.722227984649
43,Norwalk-La Mirada Unified,64840,1936467,Norwalk High,260,49.7192307692,0.66824754731
44,William S. Hart Union High,65136,1934421,"Bowman (Jereann) High, Cont.",29,28.0,0.45738545338
45,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,84,83.5357142857,0.750386750387
46,Los Angeles Unified,64733,1931864,Grover Cleveland High,188,49.6808510638,0.695140327745
