,District,District Code,School Code,School Name,number,score,vote
0,Baldwin Park Unified,64287,1936384,North Park Continuation High,20,0.0,0.761875699318
1,Los Angeles Unified,64733,102913,Middle College High,22,41.0,0.73945599022
2,Los Angeles Unified,64733,107011,International Studies Learnin,58,44.5689655172,0.837803249499
3,Las Virgenes Unified,64683,1931781,Calabasas High,64,56.3125,0.64766536965
4,Acton-Agua Dulce Unified,75309,1995786,Vasquez High,36,30.7777777778,0.512411847673
5,Los Angeles Unified,64733,124503,Green Design So Region HS#2C,25,28.12,0.924713206895
6,Pomona Unified,64907,1933324,Garey Senior High,130,26.8692307692,0.694546617624
7,Glendale Unified,64568,1934082,Herbert Hoover High,137,55.1751824818,0.657273715262
8,San Francisco Unified,68478,3830288,Balboa High,89,35.6292134831,0.857183118439
9,Los Angeles Unified,64733,1932888,Downtown Business High,13,62.0,0.854956965253
10,Los Angeles Unified,64733,1995794,Youth Opportunities Unlim,41,9.73170731707,0.908750514846
11,Burbank Unified,64337,1933332,"Monterey High, Cont.",22,18.0,0.808108640031
12,Bellflower Unified,64303,1930775,Bellflower High,338,49.2544378698,0.728351881293
13,Los Angeles Unified,64733,1938968,Van Nuys Senior High,105,41.2,0.765187419216
14,William S. Hart Union High,65136,1995802,Valencia High,592,57.5405405405,0.553500458575
15,Monrovia Unified,64790,1935899,Canyon Oaks High,14,29.0,0.687778528022
16,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,474,31.9936708861,0.816042024447
17,William S. Hart Union High,65136,1996321,Academy of the Canyons,49,75.7142857143,0.553500458575
18,Covina-Valley Unified,64436,1936418,Northview High,442,42.9570135747,0.712248743719
19,Los Angeles Unified,64733,1934371,Thomas Jefferson Senior High,83,11.0963855422,0.922107850668
20,Whittier Union High,65128,1931302,California High,970,50.1742268041,0.678964637258
21,Los Angeles Unified,64733,120360,Daniel Pearl Journalism & Comm,28,75.3571428571,0.768974432634
22,Los Angeles Unified,64733,124461,Social Justice: Global Issues,59,12.4745762712,0.922107850668
23,Arcadia Unified,64261,1930288,Arcadia High,364,54.9725274725,0.641412361689
24,Palos Verdes Peninsula Unified,64865,1996552,Palos Verdes High,199,54.8391959799,0.558045395403
25,Long Beach Unified,64725,1936947,Polytechnic High,477,45.9245283019,0.836324705586
26,Calaveras Unified,61564,531509,Calaveras High,25,84.2,0.366153846154
27,Torrance Unified,65060,1938356,South High,239,49.8158995816,0.613316134154
28,William S. Hart Union High,65136,102459,Golden Valley High,574,39.2578397213,0.493247068338
