,District,District Code,School Code,School Name,number,score,vote
0,Pomona Unified,64907,1933324,Garey Senior High,624,35.7115384615,0.694546617624
1,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,81,40.5432098765,0.682593856655
2,Los Angeles Unified,64733,1937424,"School of Communications, New",190,11.6210526316,0.870950978694
3,Los Angeles Unified,64733,6058002,Robert Fulton College Prepara,330,28.2727272727,0.808184727938
4,Burbank Unified,64337,1933332,"Monterey High, Cont.",75,20.0,0.808108640031
5,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,505,43.4257425743,0.76065511572
6,Whittier Union High,65128,1931302,California High,1136,48.6980633803,0.678964637258
7,William S. Hart Union High,65136,102459,Golden Valley High,804,53.0385572139,0.493247068338
8,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",23,0.0,0.83513562224
9,Lynwood Unified,64774,1935428,Vista High (Continuation),27,0.0,0.818173573955
10,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,829,44.4535585042,0.884973040556
11,Los Angeles Unified,64733,1931336,Cheviot Hills Continuation,47,14.7234042553,0.816042024447
12,El Monte Union High,64519,1937481,Rosemead High,693,57.5613275613,0.809498750164
13,William S. Hart Union High,65136,102475,West Ranch High,1086,66.335174954,0.56037496028
14,Los Angeles Unified,64733,110668,Frida Kahlo High,52,21.0769230769,0.922107850668
15,West Covina Unified,65094,1939537,West Covina High,933,53.8649517685,0.722227984649
16,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,177,76.5423728814,0.750386750387
17,Los Angeles Unified,64733,1931377,Earhart (Amelia) Continuation,19,16.0,0.806232062321
18,Los Angeles Unified,64733,1931385,Einstein (Albert) Cont.,26,7.5,0.706802053886
19,Los Angeles Unified,64733,1931393,Highland Park Continuation,38,13.2631578947,0.820382855174
20,Torrance Unified,65060,1939602,West High,797,72.6913425345,0.643809331448
21,Los Angeles Unified,64733,1931419,Leonis (Miguel) Continuation,37,21.7837837838,0.658119126159
22,Rowland Unified,73452,1937564,Rowland (John A.) High,883,66.2797281993,0.58049122807
23,Los Angeles Unified,64733,1935519,Manual Arts Senior High,1032,17.5968992248,0.87685560054
24,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",72,17.0,0.66717603912
25,Los Angeles Unified,64733,114850,West Adams Preparatory High,756,23.6825396825,0.904467987103
26,Los Angeles Unified,64733,1931435,Lewis (Robert H.) Continuation,22,5.0,0.750625360785
27,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,125,84.0,0.619047619048
28,Los Angeles Unified,64733,1931450,Jack London Continuation,32,3.28125,0.743107540624
29,Bonita Unified,64329,1937598,Chaparral High (Continuation),29,0.0,0.532519190509
30,Los Angeles Unified,64733,1931468,Metropolitan Continuation,67,22.8208955224,0.846559206448
31,San Gabriel Unified,75291,1995810,Gabrielino High,718,60.5710306407,0.733281579239
32,Los Angeles Unified,64733,1935568,John Marshall Senior High,1016,48.7381889764,0.690659481653
33,Los Angeles Unified,64733,1931476,Canoga Park Senior High,665,35.8646616541,0.744038635678
34,Los Angeles Unified,64733,1937622,San Fernando Senior High,899,28.2647385984,0.823900205693
35,Glendale Unified,64568,1933530,Glendale High,991,51.1301715439,0.649555830428
36,Los Angeles Unified,64733,1931484,Mission Continuation,24,13.0,0.823900205693
37,Glendora Unified,64576,1939677,Whitcomb Continuation High,23,9.0,0.525503015274
38,Los Angeles Unified,64733,112862,Student Empowerment Academy,105,35.1619047619,0.922107850668
39,Long Beach Unified,64725,125153,Beach High-ILP,159,4.90566037736,0.575231756596
40,Tulelake Basin Joint Unified,73593,4737250,Tulelake High,52,38.5384615385,0.294797687861
41,William S. Hart Union High,65136,1931492,Canyon High,964,52.653526971,0.579585410653
42,Los Angeles Unified,64733,112870,Los Angeles School of Global,157,26.3630573248,0.81433061866
43,Los Angeles Unified,64733,1931500,Owensmouth Continuation,35,11.8285714286,0.744038635678
44,Whittier Union High,65128,1939701,Whittier High,881,47.1430192963,0.78215661104
45,Bellflower Unified,64303,1935618,Mayfair High,802,52.897755611,0.728351881293
46,Los Angeles Unified,64733,1931526,Carson Senior High,984,45.0508130081,0.776502242152
47,Los Angeles Unified,64733,121095,Ambassador School of Global,208,30.3894230769,0.823566084788
48,San Francisco Unified,68478,102103,Jordan (June) School for Equi,74,14.8918918919,0.857183118439
49,Los Angeles Unified,64733,1931534,Rogers (Will) Continuation,54,5.74074074074,0.765187419216
50,San Francisco Unified,68478,3830031,Wells (Ida B.) High,58,6.89655172414,0.910737683438
51,Glendora Unified,64576,1933597,Glendora High,904,66.8296460177,0.519502353732
52,Alhambra Unified,75713,1937697,San Gabriel High,880,56.3329545455,0.733281579239
53,Los Angeles Unified,64733,1931559,Stoney Point Continuation,39,7.89743589744,0.545961333175
54,Upper Lake Union High,64071,1737006,Upper Lake High,114,29.7631578947,0.459459459459
55,Compton Unified,73437,1931567,Centennial High,385,14.9220779221,0.843711153803
56,San Francisco Unified,68478,3830064,"Downtown High, Cont.",69,2.89855072464,0.938828162129
57,El Monte Union High,64519,1932680,Mountain View High,609,33.6091954023,0.779574617683
58,Woodland Joint Unified,72710,5738810,"Cache Creek High, Cont.",46,7.0,0.598051157125
59,Los Angeles Unified,64733,117051,Edward R. Roybal Learning Cen,673,26.26448737,0.868001251173
60,Exeter Union High,71928,5431614,Kaweah High,12,0.0,0.455
61,Bonita Unified,64329,1937739,San Dimas High,452,56.3849557522,0.532519190509
62,Los Angeles Unified,64733,117069,Helen Bernstein High,426,23.6666666667,0.869295923769
63,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,613,37.0717781403,0.66824754731
64,Los Angeles Unified,64733,117077,Academic Performance Excellenc,115,18.8695652174,0.869295923769
65,Covina-Valley Unified,64436,1931617,"Fairvalley High, Cont.",67,7.46268656716,0.712248743719
66,Downey Unified,64451,1931625,Columbus Continuation,81,5.03703703704,0.687788741231
67,Los Angeles Unified,64733,102764,Alonzo Community Day,136,13.3823529412,0.869295923769
68,Los Angeles Unified,64733,1939859,Woodrow Wilson Senior High,687,30.4439592431,0.750386750387
69,ABC Unified,64212,1931641,"Tracy High, Cont.",119,2.25210084034,0.669346150659
70,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,571,62.7898423818,0.629021981523
71,Scott Valley Unified,76455,4733309,Etna Union High,70,65.6571428571,0.324840764331
72,Long Beach Unified,64725,1935758,Millikan High,1400,48.6671428571,0.575231756596
73,Charter Oak Unified,64378,1931666,Charter Oak High,669,50.134529148,0.544794738036
74,Los Angeles Unified,64733,6019475,Thirty-Second St. Perf. Arts,113,68.1238938053,0.904467987103
75,Pasadena Unified,64881,1931674,Marshall Fundamental,325,57.5415384615,0.640983033059
76,Los Angeles Unified,64733,1930650,Phineas Banning Senior High,1093,35.3568161025,0.810384159139
77,Los Angeles Unified,64733,1931682,Zane Grey Continuation,46,2.02173913043,0.695140327745
78,Long Beach Unified,64725,1939875,Wilson High,1406,50.6948790896,0.742538438348
79,Los Angeles Unified,64733,1931690,Independence Continuation,55,12.7636363636,0.768974432634
80,Los Angeles Unified,64733,1937838,San Pedro Senior High,1117,40.4162936437,0.721876046901
81,San Francisco Unified,68478,3830197,Independence High,40,31.925,0.825506052539
82,Los Angeles Unified,64733,1931708,Chatsworth Senior High,1032,46.0348837209,0.545961333175
83,San Francisco Unified,68478,3830205,Wallenberg (Raoul) Traditiona,222,58.5405405405,0.885810926529
84,Manhattan Beach Unified,75333,1935808,Mira Costa High,862,83.3155452436,0.682744775044
85,Los Angeles Unified,64733,1931716,Valley Alternative Magnet,75,61.48,0.768974432634
86,Lynwood Unified,64774,1935436,Lynwood High,893,29.3471444569,0.818173573955
87,Hacienda la Puente Unified,73445,1939925,Workman (William) High,394,32.6802030457,0.765904748425
88,Los Angeles Unified,64733,102137,Aggeler Community Day,70,19.0285714286,0.545961333175
