,District,District Code,School Code,School Name,number,score,vote
0,Montebello Unified,64808,1930155,Schurr High,58,56.9310344828,0.737907992804
1,Las Virgenes Unified,64683,1931781,Calabasas High,1056,78.8806818182,0.64766536965
2,Acton-Agua Dulce Unified,75309,1995786,Vasquez High,207,53.6666666667,0.512411847673
3,Glendale Unified,64568,1934082,Herbert Hoover High,795,49.2440251572,0.657273715262
4,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,110,47.0545454545,0.682593856655
5,San Francisco Unified,68478,3830288,Balboa High,66,81.7272727273,0.857183118439
6,Burbank Unified,64337,1933332,"Monterey High, Cont.",38,30.0,0.808108640031
7,Bellflower Unified,64303,1930775,Bellflower High,86,54.5348837209,0.728351881293
8,Los Angeles Unified,64733,1938968,Van Nuys Senior High,220,76.4727272727,0.765187419216
9,William S. Hart Union High,65136,1995802,Valencia High,1149,76.8137510879,0.553500458575
10,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,393,83.3740458015,0.816042024447
11,William S. Hart Union High,65136,1996321,Academy of the Canyons,138,96.5652173913,0.553500458575
12,Covina-Valley Unified,64436,1936418,Northview High,95,60.3473684211,0.712248743719
13,Whittier Union High,65128,1931302,California High,293,63.1194539249,0.678964637258
14,Los Angeles Unified,64733,120360,Daniel Pearl Journalism & Comm,59,74.7288135593,0.768974432634
15,Los Angeles Unified,64733,1932847,Los Angeles Center for Enrich,176,94.2272727273,0.740799366838
16,Arcadia Unified,64261,1930288,Arcadia High,392,79.8137755102,0.641412361689
17,Long Beach Unified,64725,1936947,Polytechnic High,333,90.3003003003,0.836324705586
18,Calaveras Unified,61564,531509,Calaveras High,589,56.2190152801,0.366153846154
19,William S. Hart Union High,65136,102459,Golden Valley High,402,70.3532338308,0.493247068338
20,Walnut Valley Unified,73460,1932862,Diamond Bar High,252,66.4484126984,0.57246031746
21,San Francisco Unified,68478,3833407,Lowell High,291,97.2577319588,0.826167975509
22,West Covina Unified,65094,122432,Edgewood High,17,65.0,0.718396082032
23,El Monte Union High,64519,1937481,Rosemead High,13,54.0,0.809498750164
24,William S. Hart Union High,65136,102475,West Ranch High,1084,72.9151291513,0.56037496028
25,Centinela Valley Union High,64352,1934926,Lawndale High,55,61.8,0.75959933222
26,El Monte Union High,64519,1930320,Arroyo High,50,61.84,0.779574617683
27,West Covina Unified,65094,1939537,West Covina High,114,71.4473684211,0.722227984649
28,Norwalk-La Mirada Unified,64840,1936467,Norwalk High,70,49.9571428571,0.66824754731
29,William S. Hart Union High,65136,1934421,"Bowman (Jereann) High, Cont.",51,18.0,0.45738545338
30,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,238,85.7521008403,0.750386750387
31,Los Angeles Unified,64733,1931864,Grover Cleveland High,388,84.3273195876,0.695140327745
32,Lompoc Unified,69229,4233060,Lompoc High,145,46.324137931,0.409012131716
33,Norwalk-La Mirada Unified,64840,1936475,"El Camino High, Cont.",11,30.0,0.678964637258
34,Los Angeles County Office of Education,10199,1995869,Intern. Polytechnic High,45,90.8,0.742633439973
35,Bret Harte Union High,61556,530014,Vallecito Continuation High,14,21.0,0.547826086957
36,Los Angeles Unified,64733,1939040,Venice Senior High,216,73.7638888889,0.805606900801
37,Whittier Union High,65128,1930338,"Frontier High, Cont.",15,13.0,0.593833692599
38,Calaveras Unified,61564,530022,Gold Strike High,26,7.84615384615,0.366153846154
39,ABC Unified,64212,1931880,Whitney (Gretchen) High,23,100.0,0.669346150659
40,San Francisco Unified,68478,3839081,Washington (George) High,104,61.3173076923,0.859501229364
41,Los Angeles Unified,64733,1930866,Bell Senior High,28,24.6785714286,0.895141406817
42,Long Beach Unified,64725,1995539,Calif Acad Math and Science,63,100.0,0.641695637546
43,Los Angeles Unified,64733,1932920,Fairfax Senior High,96,61.8020833333,0.843086361491
44,ABC Unified,64212,1930361,Artesia High,49,55.0,0.684382665576
45,Los Angeles Unified,64733,1938554,Sylmar Senior High,38,42.2368421053,0.824708926261
46,Pomona Unified,64907,1995901,Diamond Ranch High,143,73.0909090909,0.694546617624
47,Montebello Unified,64808,1935998,Montebello High,51,60.5882352941,0.737907992804
48,Centinela Valley Union High,64352,1933951,Hawthorne High,13,54.0,0.874346343312
49,Pomona Unified,64907,1937028,Pomona Senior High,12,50.0,0.724364942147
50,Antelope Valley Union High,64246,1995398,Highland High,441,60.7324263039,0.419696176008
51,San Francisco Unified,68478,3834082,Mission High,55,59.7090909091,0.938423268274
52,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,73,75.3150684932,0.76065511572
53,Antelope Valley Union High,64246,1995406,Littlerock High,163,50.4355828221,0.492362982929
54,Torrance Unified,65060,1939602,West High,477,73.8343815514,0.643809331448
55,Sierra-Plumas Joint Unified,70177,4634259,Loyalton High,57,57.7543859649,0.752427184466
56,San Francisco Unified,68478,119958,Academy of Arts and Sciences,39,66.7435897436,0.886606782398
57,Downey Unified,64451,1932441,Downey High,221,63.9819004525,0.687788741231
58,Los Angeles Unified,64733,1931419,Leonis (Miguel) Continuation,11,9.0,0.658119126159
59,Rowland Unified,73452,1937564,Rowland (John A.) High,87,66.6551724138,0.58049122807
60,Alhambra Unified,75713,1930163,Alhambra High,67,73.1791044776,0.663436301232
61,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",39,13.0,0.66717603912
62,Torrance Unified,65060,1938083,"Shery (Kurt T.) High, Cont.",29,24.0,0.680197090568
63,Summerville Union High,72413,5530027,"Tuolumne High, Cont.",11,9.0,0.501577287066
64,Long Beach Unified,64725,1930411,Avalon (K-12),29,85.9310344828,0.795010845987
65,Big Valley Joint Unified,64089,1831601,Big Valley Jr. Sr. High,37,50.972972973,0.183333333333
66,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,138,92.0,0.619047619048
67,San Francisco Unified,68478,3830387,Asawa (Ruth) San Francisco Sc,168,91.5952380952,0.886606782398
68,Los Angeles Unified,64733,1938612,William Howard Taft Senior Hi,764,72.9109947644,0.705670515605
69,Los Angeles Unified,64733,1995448,Francisco Bravo Medical Magne,136,79.9852941176,0.870950978694
