,District,District Code,School Code,School Name,number,score,vote
0,Las Virgenes Unified,64683,1931781,Calabasas High,1929,65.6879212027,0.64766536965
1,Acton-Agua Dulce Unified,75309,1995786,Vasquez High,316,37.9620253165,0.512411847673
2,Glendale Unified,64568,1934082,Herbert Hoover High,618,49.0663430421,0.657273715262
3,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,69,46.3188405797,0.682593856655
4,San Francisco Unified,68478,3830288,Balboa High,86,74.8488372093,0.857183118439
5,Burbank Unified,64337,1933332,"Monterey High, Cont.",25,28.0,0.808108640031
6,Bellflower Unified,64303,1930775,Bellflower High,35,60.1428571429,0.728351881293
7,Los Angeles Unified,64733,1938968,Van Nuys Senior High,154,75.5974025974,0.765187419216
8,William S. Hart Union High,65136,1995802,Valencia High,2111,63.770724775,0.553500458575
9,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,615,67.2715447154,0.816042024447
10,William S. Hart Union High,65136,1996321,Academy of the Canyons,225,80.4044444444,0.553500458575
11,Covina-Valley Unified,64436,1936418,Northview High,47,63.6382978723,0.712248743719
12,Whittier Union High,65128,1931302,California High,265,54.8037735849,0.678964637258
13,Los Angeles Unified,64733,120360,Daniel Pearl Journalism & Comm,24,83.4166666667,0.768974432634
14,Los Angeles Unified,64733,1932847,Los Angeles Center for Enrich,286,83.1013986014,0.740799366838
15,Arcadia Unified,64261,1930288,Arcadia High,654,69.3165137615,0.641412361689
16,Monrovia Unified,64790,1935923,Monrovia High,505,66.7366336634,0.687778528022
17,Calaveras Unified,61564,531509,Calaveras High,754,47.8541114058,0.366153846154
18,William S. Hart Union High,65136,102459,Golden Valley High,655,52.2900763359,0.493247068338
19,Walnut Valley Unified,73460,1932862,Diamond Bar High,391,54.7468030691,0.57246031746
20,San Francisco Unified,68478,3833407,Lowell High,514,89.0505836576,0.826167975509
21,William S. Hart Union High,65136,102475,West Ranch High,2013,61.5494287134,0.56037496028
22,Centinela Valley Union High,64352,1934926,Lawndale High,12,83.0,0.75959933222
23,El Monte Union High,64519,1930320,Arroyo High,12,67.0,0.779574617683
24,West Covina Unified,65094,1939537,West Covina High,85,71.6,0.722227984649
25,Norwalk-La Mirada Unified,64840,1936467,Norwalk High,14,43.0,0.66824754731
26,William S. Hart Union High,65136,1934421,"Bowman (Jereann) High, Cont.",65,12.1538461538,0.45738545338
27,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,453,55.2715231788,0.750386750387
28,Los Angeles Unified,64733,1931864,Grover Cleveland High,511,86.1428571429,0.695140327745
29,Los Angeles County Office of Education,10199,1995869,Intern. Polytechnic High,83,59.0843373494,0.742633439973
30,Los Angeles Unified,64733,1939040,Venice Senior High,313,63.2747603834,0.805606900801
31,ABC Unified,64212,1931880,Whitney (Gretchen) High,23,100.0,0.669346150659
32,San Francisco Unified,68478,3839081,Washington (George) High,94,57.4468085106,0.859501229364
33,Long Beach Unified,64725,1995539,Calif Acad Math and Science,107,100.0,0.641695637546
34,Los Angeles Unified,64733,1932920,Fairfax Senior High,41,66.0487804878,0.843086361491
35,Whittier Union High,65128,1934868,La Serna High,985,58.4182741117,0.593833692599
36,Pomona Unified,64907,1995901,Diamond Ranch High,194,59.3969072165,0.694546617624
37,Antelope Valley Union High,64246,1995398,Highland High,810,45.9987654321,0.419696176008
38,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,43,76.7674418605,0.76065511572
39,Antelope Valley Union High,64246,1995406,Littlerock High,226,37.2433628319,0.492362982929
40,Torrance Unified,65060,1939602,West High,801,62.6229712859,0.643809331448
41,Sierra-Plumas Joint Unified,70177,4634259,Loyalton High,29,58.6896551724,0.752427184466
42,San Francisco Unified,68478,119958,Academy of Arts and Sciences,11,45.0,0.886606782398
43,Downey Unified,64451,1932441,Downey High,220,55.75,0.687788741231
44,Rowland Unified,73452,1937564,Rowland (John A.) High,51,72.3529411765,0.58049122807
45,Alhambra Unified,75713,1930163,Alhambra High,41,80.9024390244,0.663436301232
46,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",15,20.0,0.66717603912
47,Torrance Unified,65060,1938083,"Shery (Kurt T.) High, Cont.",19,21.0,0.680197090568
48,Long Beach Unified,64725,1930411,Avalon (K-12),12,83.0,0.795010845987
49,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,240,85.7833333333,0.619047619048
50,San Francisco Unified,68478,3830387,Asawa (Ruth) San Francisco Sc,314,70.7324840764,0.886606782398
51,Los Angeles Unified,64733,1938612,William Howard Taft Senior Hi,783,65.7586206897,0.705670515605
52,Los Angeles Unified,64733,1995448,Francisco Bravo Medical Magne,11,100.0,0.870950978694
53,Duarte Unified,64469,1932482,Duarte High,58,52.0689655172,0.69235280319
54,Walnut Valley Unified,73460,1939149,Walnut High,274,69.5583941606,0.622432392493
55,Los Angeles Unified,64733,1935568,John Marshall Senior High,196,51.5816326531,0.690659481653
56,Los Angeles Unified,64733,1934033,Hollywood Senior High,59,53.9830508475,0.869295923769
57,Los Angeles Unified,64733,1931476,Canoga Park Senior High,11,91.0,0.744038635678
58,Long Beach Unified,64725,1996503,Renaissance High for the Arts,50,87.9,0.836324705586
59,Glendale Unified,64568,1933530,Glendale High,650,57.6815384615,0.649555830428
60,Downey Unified,64451,1939164,Warren High,189,56.4973544974,0.687788741231
61,San Francisco Unified,68478,3834082,Mission High,33,67.0,0.938423268274
62,William S. Hart Union High,65136,1931492,Canyon High,1496,57.8161764706,0.579585410653
63,Beverly Hills Unified,64311,1930981,Beverly Hills High,1857,64.9332256327,0.720806916427
64,Glendale Unified,64568,1995497,Verdugo Academy,33,54.6666666667,0.66717603912
65,Antelope Valley Union High,64246,1936624,Palmdale High,306,37.8267973856,0.5248
66,William S. Hart Union High,65136,1932532,Learning Post High (Alternati,52,63.3461538462,0.553500458575
67,Whittier Union High,65128,1939701,Whittier High,58,65.7586206897,0.78215661104
68,Temple City Unified,65052,1938679,Temple City High,226,63.185840708,0.638942123419
69,Los Angeles Unified,64733,1932540,Eagle Rock High,99,69.6464646465,0.735197132616
70,San Francisco Unified,68478,3831765,Galileo High,11,91.0,0.904845733346
71,Bellflower Unified,64303,1935618,Mayfair High,433,53.2609699769,0.728351881293
72,Palos Verdes Peninsula Unified,64865,1996552,Palos Verdes High,1846,70.0438786566,0.558045395403
73,La Canada Unified,64659,1934611,La Canada High,1198,80.9373956594,0.590101694915
74,Exeter Union High,71928,5431598,Exeter High,467,50.47751606,0.455
75,Glendora Unified,64576,1933597,Glendora High,1522,64.2634691196,0.519502353732
76,Los Angeles Unified,64733,1936160,Nathaniel Narbonne Senior Hig,94,51.2659574468,0.690962980886
77,Colusa Unified,61598,631259,Colusa High,71,71.7323943662,0.338235294118
78,Long Beach Unified,64725,1934470,Jordan High,13,54.0,0.777751852068
79,Upper Lake Union High,64071,1737006,Upper Lake High,41,53.6829268293,0.459459459459
80,Long Beach Unified,64725,1995570,Educational Partnership High,17,53.0,0.727155394941
81,Long Beach Unified,64725,1936947,Polytechnic High,568,84.5404929577,0.836324705586
82,Covina-Valley Unified,64436,1932086,Covina High,94,61.8936170213,0.70250079139
83,Riverdale Joint Unified,75408,1035575,Riverdale High,49,48.9183673469,0.153374233129
84,Torrance Unified,65060,1938752,Torrance High,553,50.5226039783,0.680197090568
85,Palos Verdes Peninsula Unified,64865,1995588,Palos Verdes Penins. High,1708,74.8553864169,0.558045395403
86,Lompoc Unified,69229,4230454,Cabrillo High,721,53.1636615811,0.409012131716
87,ABC Unified,64212,1930056,Cerritos High,139,66.3237410072,0.669346150659
88,Los Angeles Unified,64733,1937226,Reseda Senior High,76,60.6710526316,0.695140327745
89,Bonita Unified,64329,1937739,San Dimas High,468,50.7542735043,0.532519190509
90,Bonita Unified,64329,1931088,Bonita High,984,69.9644308943,0.532519190509
91,Los Angeles Unified,64733,1996115,City of Angels,63,58.7936507937,0.875575270308
92,Hacienda la Puente Unified,73445,1935246,Los Altos High,133,67.045112782,0.629021981523
93,Long Beach Unified,64725,1934678,Lakewood High,1055,52.6587677725,0.627080240644
94,South Pasadena Unified,65029,1938455,South Pasadena Senior High,600,76.62,0.803680981595
95,Los Angeles Unified,64733,1939941,John F. Kennedy High,70,62.9,0.607977991747
96,Las Virgenes Unified,64683,1930080,Agoura High,2283,68.7179150241,0.609734381956
97,Glendale Unified,64568,1996131,Clark (A.W.) Magnet High,662,83.0302114804,0.601872599232
98,Lompoc Unified,69229,4233060,Lompoc High,128,37.2734375,0.409012131716
99,ABC Unified,64212,1933159,Gahr (Richard) High,99,56.6060606061,0.669346150659
100,Glendale Unified,64568,1932144,Crescenta Valley High,1965,70.6824427481,0.601872599232
101,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,46,67.347826087,0.629021981523
102,Scott Valley Unified,76455,4733309,Etna Union High,70,77.3,0.324840764331
103,Nevada Joint Union High,66357,2930048,Bear River High,839,50.6162097735,0.492136910268
104,Norwalk-La Mirada Unified,64840,1934728,La Mirada High,600,50.9733333333,0.651520069242
105,Long Beach Unified,64725,1935758,Millikan High,1270,54.3535433071,0.575231756596
106,Charter Oak Unified,64378,1931666,Charter Oak High,475,47.8421052632,0.544794738036
107,Torrance Unified,65060,1936277,North High,395,53.0227848101,0.695008146941
108,San Francisco Unified,68478,3833241,Lincoln (Abraham) High,75,50.7333333333,0.825506052539
109,Pasadena Unified,64881,1931674,Marshall Fundamental,91,83.7252747253,0.640983033059
110,Long Beach Unified,64725,1939875,Wilson High,1406,59.4523470839,0.742538438348
111,Culver City Unified,64444,1932201,Culver City High,570,66.0684210526,0.783232413541
112,Westwood Unified,64204,1838507,Westwood High,12,36.0,0.201017811705
113,Los Angeles Unified,64733,1937838,San Pedro Senior High,423,49.4775413712,0.721876046901
114,Los Angeles Unified,64733,119727,Ramon C. Cortines School of V,94,70.5957446809,0.854956965253
115,Los Angeles Unified,64733,1933233,Sherman Oaks Center for Enric,318,79.0157232704,0.695140327745
116,Burbank Unified,64337,1931187,Burbank High,2091,56.6628407461,0.687874685747
117,Torrance Unified,65060,1938356,South High,1195,62.70041841,0.613316134154
118,Pasadena Unified,64881,1936822,Pasadena High,302,57.2052980132,0.689621329844
119,Los Angeles Unified,64733,1931708,Chatsworth Senior High,403,43.7196029777,0.545961333175
120,Manhattan Beach Unified,75333,1935808,Mira Costa High,1937,79.5467217346,0.682744775044
121,Covina-Valley Unified,64436,1938372,South Hills High,283,55.6961130742,0.70250079139
122,Los Angeles Unified,64733,1938885,University Senior High,117,75.2136752137,0.816501215559
123,Los Angeles Unified,64733,124362,Valley Academy of Arts and Sc,127,44.0236220472,0.607977991747
124,Redondo Beach Unified,75341,1937143,Redondo Union High,1494,63.7443105756,0.71605516872
125,San Gabriel Unified,75291,1995810,Gabrielino High,81,72.6666666667,0.733281579239
126,William S. Hart Union High,65136,1933902,Hart (William S.) Senior High,1401,66.8044254104,0.493247068338
127,El Segundo Unified,64535,1932763,El Segundo High,775,74.1858064516,0.697785277368
128,William S. Hart Union High,65136,1931740,Saugus High,1989,53.9416792358,0.45738545338
129,Los Angeles Unified,64733,1936350,North Hollywood Senior High,334,77.8832335329,0.806232062321
130,Santa Monica-Malibu Unified,64980,1938000,Santa Monica High,1568,69.0051020408,0.83513562224
131,Los Angeles Unified,64733,1933795,Ulysses S. Grant Senior High,222,37.8423423423,0.743107540624
132,Burbank Unified,64337,1931237,Burroughs High,1261,59.5019825535,0.808108640031
133,Redondo Beach Unified,75341,1995752,Redondo Shores High (Continua,11,18.0,0.71605516872
134,Palos Verdes Peninsula Unified,64865,1933308,"Rancho del Mar High, Cont.",21,10.0,0.558045395403
135,Summerville Union High,72413,5536750,Summerville High,263,51.2813688213,0.501577287066
136,Whittier Union High,65128,1937903,Santa Fe High,56,65.8571428571,0.783517010062
137,Los Angeles Unified,64733,107003,Northridge Academy High,133,53.2481203008,0.746801978509
138,Las Virgenes Unified,64683,1931260,Indian Hills Continuation High,11,55.0,0.609734381956
