A:group1,B:group2,C:test,D:corr,E:counts,F:mean,G:std,H:corr_w_1
afam,afam,math,nan,176,0.000,0.000,-0.387
afam,afam_econ_dis,math,-0.042,133,-0.207,5.640,-0.354
afam,afam_econ_ok,math,0.007,93,6.087,7.685,-0.316
afam,all,math,0.106,176,3.268,10.114,-0.387
afam,asian,math,0.108,103,27.452,13.353,-0.360
afam,asian_econ_dis,math,0.156,72,24.518,16.792,-0.401
afam,asian_econ_ok,math,0.199,76,34.295,15.108,-0.306
afam,econ_dis,math,0.376,176,-0.501,11.042,-0.387
afam,econ_ok,math,0.112,154,8.608,11.527,-0.367
afam,female,math,0.087,172,4.028,10.431,-0.383
afam,hispanic,math,0.272,174,-1.863,9.869,-0.380
afam,hispanic_econ_dis,math,0.394,169,-3.229,10.335,-0.376
afam,hispanic_econ_ok,math,0.218,143,3.096,11.689,-0.369
afam,male,math,0.156,174,2.916,10.107,-0.379
afam,white,math,0.447,110,15.076,16.263,-0.221
afam,white_econ_dis,math,0.450,88,9.743,16.793,-0.176
afam,white_econ_ok,math,0.540,98,20.327,18.096,-0.165
afam_econ_dis,afam,math,0.042,133,0.207,5.640,-0.341
afam_econ_dis,afam_econ_dis,math,nan,133,0.000,0.000,-0.341
afam_econ_dis,afam_econ_ok,math,0.043,69,6.474,9.661,-0.226
afam_econ_dis,all,math,0.147,133,3.914,10.792,-0.341
afam_econ_dis,asian,math,0.104,66,31.772,13.480,-0.383
afam_econ_dis,asian_econ_dis,math,0.121,55,28.992,16.242,-0.451
afam_econ_dis,asian_econ_ok,math,0.190,44,41.768,15.514,-0.391
afam_econ_dis,econ_dis,math,0.278,133,1.561,10.690,-0.341
afam_econ_dis,econ_ok,math,0.114,113,10.134,12.507,-0.361
afam_econ_dis,female,math,0.139,130,4.653,11.116,-0.347
afam_econ_dis,hispanic,math,0.225,132,0.394,9.738,-0.340
afam_econ_dis,hispanic_econ_dis,math,0.283,132,-0.508,10.123,-0.340
afam_econ_dis,hispanic_econ_ok,math,0.188,105,5.767,11.180,-0.360
afam_econ_dis,male,math,0.196,131,3.694,10.706,-0.336
afam_econ_dis,white,math,0.493,74,20.268,17.693,-0.283
afam_econ_dis,white_econ_dis,math,0.421,60,14.856,17.434,-0.214
afam_econ_dis,white_econ_ok,math,0.587,63,27.786,19.091,-0.244
afam_econ_ok,afam,math,-0.007,93,-6.087,7.685,-0.288
afam_econ_ok,afam_econ_dis,math,-0.043,69,-6.474,9.661,-0.186
afam_econ_ok,afam_econ_ok,math,nan,93,0.000,0.000,-0.288
afam_econ_ok,all,math,0.041,93,-0.017,11.400,-0.288
afam_econ_ok,asian,math,-0.018,67,21.497,13.658,-0.298
afam_econ_ok,asian_econ_dis,math,-0.033,44,18.591,18.434,-0.254
afam_econ_ok,asian_econ_ok,math,0.085,58,26.963,14.836,-0.265
afam_econ_ok,econ_dis,math,0.294,93,-5.939,13.431,-0.288
afam_econ_ok,econ_ok,math,0.052,93,4.254,11.230,-0.288
afam_econ_ok,female,math,0.010,93,0.929,11.356,-0.288
afam_econ_ok,hispanic,math,0.171,93,-6.884,12.609,-0.288
afam_econ_ok,hispanic_econ_dis,math,0.285,89,-8.503,13.392,-0.279
afam_econ_ok,hispanic_econ_ok,math,0.151,90,-2.454,12.864,-0.323
